documents,llm_responses,actual_labels,complete_responses,extracted_labels
How do I locate my card?," The sentence ""How do I locate my card?"" falls under the category ""lost_or_stolen_card."" This category is typically related to concerns about the whereabouts of a user's card, which may include scenarios where the user cannot find their card and is seeking assistance to locate it or to understand the steps to take if the card is permanently lost or has been stolen.",11,"ModelResponse(id='8f12fbc55f0643d7-EWR', created=1734061758, model='together_ai/microsoft/WizardLM-2-8x22B', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content=' The sentence ""How do I locate my card?"" falls under the category ""lost_or_stolen_card."" This category is typically related to concerns about the whereabouts of a user\'s card, which may include scenarios where the user cannot find their card and is seeking assistance to locate it or to understand the steps to take if the card is permanently lost or has been stolen.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=81, prompt_tokens=743, total_tokens=824, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt_logprobs=None, prompt=[])",41
"I still have not received my new card, I ordered over a week ago."," The sentence provided falls under the intent category:

- 'card_arrival'

This category is appropriate because the user is expressing concern about not having received their new card after ordering it more than a week ago, indicating an issue with the delivery of the card.",11,"ModelResponse(id='8f12fbc53c4142b0-EWR', created=1734061758, model='together_ai/microsoft/WizardLM-2-8x22B', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content="" The sentence provided falls under the intent category:\n\n- 'card_arrival'\n\nThis category is appropriate because the user is expressing concern about not having received their new card after ordering it more than a week ago, indicating an issue with the delivery of the card."", role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=59, prompt_tokens=752, total_tokens=811, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt_logprobs=None, prompt=[])",11
I ordered a card but it has not arrived. Help please!," The sentence ""I ordered a card but it has not arrived. Help please!"" falls under the intent category:

- 'card_arrival'

This category is appropriate because the user is expressing concern about the delivery of a card they have ordered, indicating that they are seeking assistance because the card has not yet arrived.",11,"ModelResponse(id='8f12fbc54ce38cd7-EWR', created=1734061758, model='together_ai/microsoft/WizardLM-2-8x22B', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content=' The sentence ""I ordered a card but it has not arrived. Help please!"" falls under the intent category:\n\n- \'card_arrival\'\n\nThis category is appropriate because the user is expressing concern about the delivery of a card they have ordered, indicating that they are seeking assistance because the card has not yet arrived.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=70, prompt_tokens=749, total_tokens=819, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt_logprobs=None, prompt=[])",11
Is there a way to know when my card will arrive?,"
The sentence ""Is there a way to know when my card will arrive?"" falls under the intent category:

- 'card_arrival'

This category is concerned with inquiries about the estimated delivery time of a physical card that a customer has ordered.",11,"ModelResponse(id='8f12fbc54a037c90-EWR', created=1734061758, model='together_ai/microsoft/WizardLM-2-8x22B', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='\nThe sentence ""Is there a way to know when my card will arrive?"" falls under the intent category:\n\n- \'card_arrival\'\n\nThis category is concerned with inquiries about the estimated delivery time of a physical card that a customer has ordered.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=58, prompt_tokens=748, total_tokens=806, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt_logprobs=None, prompt=[])",11
My card has not arrived yet.," The sentence ""My card has not arrived yet."" falls under the intent category:

- 'card_arrival'",11,"ModelResponse(id='8f12fbc548828c9c-EWR', created=1734061758, model='together_ai/microsoft/WizardLM-2-8x22B', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content=' The sentence ""My card has not arrived yet."" falls under the intent category:\n\n- \'card_arrival\'', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=27, prompt_tokens=743, total_tokens=770, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt_logprobs=None, prompt=[])",11
When will I get my card?," The sentence ""When will I get my card?"" falls under the intent category:

- 'card_arrival'

This category is concerned with inquiries about the expected delivery time of a physical card that a customer has ordered or requested.",11,"ModelResponse(id='8f12fbc56943c34f-EWR', created=1734061758, model='together_ai/microsoft/WizardLM-2-8x22B', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content=' The sentence ""When will I get my card?"" falls under the intent category:\n\n- \'card_arrival\'\n\nThis category is concerned with inquiries about the expected delivery time of a physical card that a customer has ordered or requested.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=54, prompt_tokens=743, total_tokens=797, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt_logprobs=None, prompt=[])",11
Do you know if there is a tracking number for the new card you sent me?," The sentence ""Do you know if there is a tracking number for the new card you sent me?"" falls under the intent category:

- 'card_delivery_estimate'

This category is relevant because the user is inquiring about the delivery status of their new card, which typically involves asking for a tracking number to monitor the shipment's progress.",11,"ModelResponse(id='8f12fbc56ce88c42-EWR', created=1734061758, model='together_ai/microsoft/WizardLM-2-8x22B', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content=' The sentence ""Do you know if there is a tracking number for the new card you sent me?"" falls under the intent category:\n\n- \'card_delivery_estimate\'\n\nThis category is relevant because the user is inquiring about the delivery status of their new card, which typically involves asking for a tracking number to monitor the shipment\'s progress.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=78, prompt_tokens=753, total_tokens=831, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt_logprobs=None, prompt=[])",12
i have not received my card," The sentence ""i have not received my card"" falls under the intent category ""card_arrival"". This category is concerned with issues related to the delivery and arrival of a physical card that a customer has ordered or is expecting to receive.",11,"ModelResponse(id='8f12fbc568527cfc-EWR', created=1734061758, model='together_ai/microsoft/WizardLM-2-8x22B', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content=' The sentence ""i have not received my card"" falls under the intent category ""card_arrival"". This category is concerned with issues related to the delivery and arrival of a physical card that a customer has ordered or is expecting to receive.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=50, prompt_tokens=742, total_tokens=792, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt_logprobs=None, prompt=[])",11
still waiting on that card," The sentence ""still waiting on that card"" indicates that the user is expecting a card to arrive and has not yet received it. This falls under the category of:

- 'card_arrival'

This intent reflects the user's concern about the delivery status of their card.",11,"ModelResponse(id='8f12fbc54af67ce4-EWR', created=1734061758, model='together_ai/microsoft/WizardLM-2-8x22B', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content=' The sentence ""still waiting on that card"" indicates that the user is expecting a card to arrive and has not yet received it. This falls under the category of:\n\n- \'card_arrival\'\n\nThis intent reflects the user\'s concern about the delivery status of their card.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=63, prompt_tokens=741, total_tokens=804, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt_logprobs=None, prompt=[])",11
Is it normal to have to wait over a week for my new card?," The sentence ""Is it normal to have to wait over a week for my new card?"" falls under the intent category:

- 'card_arrival'

This category is related to inquiries about the expected delivery time of a new card. The user is expressing concern about the duration it takes to receive their new card, which aligns with the intent of understanding the typical timeframe for card delivery.",11,"ModelResponse(id='8f12fbc588e9422e-EWR', created=1734061758, model='together_ai/microsoft/WizardLM-2-8x22B', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content=' The sentence ""Is it normal to have to wait over a week for my new card?"" falls under the intent category:\n\n- \'card_arrival\'\n\nThis category is related to inquiries about the expected delivery time of a new card. The user is expressing concern about the duration it takes to receive their new card, which aligns with the intent of understanding the typical timeframe for card delivery.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=88, prompt_tokens=751, total_tokens=839, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt_logprobs=None, prompt=[])",11
