prompt,validation_accuracy,new_best
"Classify the given sentence from FOMC as either hawkish, dovish, or neutral. A hawkish stance suggests a more aggressive approach to monetary policy, while a dovish stance indicates a more accommodative approach. A neutral stance implies no significant change in the monetary policy stance. Provide a clear and concise explanation, highlighting specific phrases or arguments that support your classification. If the sentence is neutral, please explain why it does not express a clear bias towards tightening or easing monetary policy.",0.4722222222222222,True
"For the purpose of this task, 'hawkish' refers to a central bank's policy stance that is more likely to raise interest rates to control inflation, while 'dovish' refers to a policy stance that is more likely to keep interest rates low to stimulate economic growth. Analyze the given sentence from FOMC and classify it as either hawkish (leaning towards a more aggressive approach to tightening monetary policy), neutral (neither hawkish nor dovish), or dovish (leaning towards a more accommodative approach to easing monetary policy). Provide a clear and concise explanation, highlighting specific phrases or arguments that support your classification. If the sentence is neutral, please explain why it does not express a clear bias towards tightening or easing monetary policy. Additionally, compare the sentence to a clear-cut example of hawkish and dovish language, and explain how the sentence's language and tone compare to these examples.",0.4444444444444444,False
"Classify the given sentence from FOMC as either hawkish, leaning hawkish, neutral, leaning dovish, or dovish. To do this, please identify specific phrases or arguments in the sentence that indicate a bias towards tightening or easing monetary policy. Provide a clear and concise explanation, highlighting the evidence that supports your classification.\nFor example, if the sentence was ""The FOMC is considering raising interest rates to combat inflation,"" you could classify it as ""hawkish"" because it indicates a bias towards tightening monetary policy by raising interest rates. On the other hand, if the sentence was ""The FOMC is concerned about the slow pace of economic growth and may consider easing monetary policy,"" you could classify it as ""dovish"" because it indicates a bias towards easing monetary policy by considering actions that would stimulate economic growth.\nPlease avoid using vague terms like ""neutral"" when classifying sentiment. Instead, strive for clear and specific answers that accurately reflect the sentiment of the given text.",0.4444444444444444,False
"Classify the given sentence from FOMC as either hawkish, dovish, or neutral. Provide a clear and concise explanation, highlighting specific phrases or arguments that support your classification. If the sentence is neutral, please explain why it does not express a clear bias towards tightening or easing monetary policy.\nTo ensure a more accurate classification, consider the overall context and tone of the sentence, and provide examples of language that would indicate each stance. For example:\n""Classify the given sentence from FOMC as either hawkish, dovish, or neutral. Provide a clear and concise explanation, highlighting specific phrases or arguments that support your classification. If the sentence is neutral, please explain why it does not express a clear bias towards tightening or easing monetary policy, and provide examples of language that would indicate a bias towards tightening or easing.""",0.5277777777777778,True
"Classify the given sentence from FOMC as either hawkish, dovish, or neutral. Provide a more nuanced analysis of the sentence, taking into account the specific words and phrases used, as well as the overall context of the conversation. Highlight the specific arguments or phrases that support your classification, and explain why you believe the sentence leans towards a particular stance. To help you make an accurate classification, consider the following examples:\n- A hawkish stance might be indicated by phrases such as 'tighten monetary policy', 'raise interest rates', or 'curb inflation'.\n- A dovish stance might be indicated by phrases such as 'maintain accommodative monetary policy', 'support economic growth', or 'tolerate higher inflation levels'.\n- A neutral stance might be indicated by phrases such as 'continue to closely monitor economic conditions', 'make decisions based on the data', or 'take a balanced approach'.\nEnsure that your response is clear, concise, and informative, and that you provide a detailed explanation of your reasoning. If the sentence is neutral, please explain why it does not express a clear bias towards tightening or easing monetary policy, and provide examples of language that would indicate a bias towards tightening or easing monetary policy.",0.5277777777777778,True
"Classify the given sentence from FOMC as either hawkish, dovish, or neutral. Provide a detailed and nuanced analysis of the sentence, taking into account the specific words and phrases used, as well as the overall context of the conversation. Highlight the specific arguments or phrases that support your classification, and explain why you believe the sentence leans towards a particular stance. To help you make an accurate classification, consider the following examples:\n- A hawkish stance might be indicated by phrases such as 'tighten monetary policy', 'raise interest rates', or 'curb inflation'.\n- A dovish stance might be indicated by phrases such as 'maintain accommodative monetary policy', 'support economic growth', or 'tolerate higher inflation levels'.\n- A neutral stance might be indicated by phrases such as 'continue to closely monitor economic conditions', 'make decisions based on the data', or 'take a balanced approach'.\nEnsure that your response is clear, concise, and informative, and that you provide a detailed explanation of your reasoning. If the sentence is neutral, please explain why it does not express a clear bias towards tightening or easing monetary policy, and provide examples of language that would indicate a bias towards tightening or easing monetary policy.",0.4722222222222222,False
"Analyze the given sentence from the FOMC meeting or statement, and classify it as either hawkish, dovish, or neutral. Provide a detailed and nuanced explanation of your classification, taking into account the specific words and phrases used, as well as the overall context of the conversation. Highlight the specific arguments or phrases that support your classification, and explain why you believe the sentence leans towards a particular stance. To help you make an accurate classification, consider the following examples:\n- A hawkish stance might be indicated by phrases such as 'tighten monetary policy', 'raise interest rates', or 'curb inflation'.\n- A dovish stance might be indicated by phrases such as 'maintain accommodative monetary policy', 'support economic growth', or 'tolerate higher inflation levels'.\n- A neutral stance might be indicated by phrases such as 'continue to closely monitor economic conditions', 'make decisions based on the data', or 'take a balanced approach'.\nIn addition, provide examples of both hawkish and dovish biases, and then explain how the given sentence does not exhibit these biases. Compare the given sentence to sentences that exhibit biases towards tightening or easing monetary policy, and provide a clear and concise explanation of why the sentence is classified as [classification].",0.4444444444444444,False
"Analyze the given sentence from FOMC and classify it as either hawkish, dovish, or neutral. Provide a detailed explanation of your reasoning, highlighting the specific words and phrases that support your classification, and explaining why you believe the sentence leans towards a particular stance. If the sentence is neutral, please explain why it does not express a clear bias towards tightening or easing monetary policy, and provide examples of language that would indicate a bias towards tightening or easing monetary policy. Additionally, provide a confidence score between 0 and 1, where 0 indicates no confidence and 1 indicates full confidence in your classification. Take into account the broader economic context when classifying the sentence, including recent economic data, market trends, and the current state of the economy.",0.5555555555555556,True
"Analyze the given sentence from FOMC and explain the monetary policy stance implied by the sentence. Provide a detailed rationale for your classification, highlighting the specific words and phrases that support your interpretation, and explaining why you believe the sentence leans towards a particular stance. If the sentence is neutral, please explain why it does not express a clear bias towards tightening or easing monetary policy, and provide examples of language that would indicate a bias towards tightening or easing monetary policy. Additionally, provide a confidence score between 0 and 1, where 0 indicates no confidence and 1 indicates full confidence in your classification. Take into account the broader economic context when classifying the sentence, including recent economic data, market trends, and the current state of the economy.",0.2222222222222222,False
"Analyze the given sentence from FOMC and provide a recommendation for monetary policy action based on the economic context. Explain why this action is necessary, what specific policy tools could be used to implement it, and how these tools would impact the economy. Take into account the broader economic context, including recent economic data, market trends, and the current state of the economy.",0.0,False
