sentences,llm_responses,actual_labels,complete_responses,extracted_labels
Participants agreed that the labor market had remained strong over the intermeeting period and that economic activity had risen at a moderate rate.,"NEUTRAL  
The sentence describes the current state of the labor market and economic activity without indicating any specific policy action or change in monetary policy stance.",2,"ModelResponse(id='chatcmpl-Aut6gZgNMZaGzmpirvHd0mZKwrHCY', created=1738121562, model='gpt-4o-2024-08-06', object='chat.completion', system_fingerprint='fp_50cad350e4', choices=[Choices(finish_reason='stop', index=0, message=Message(content='NEUTRAL  \nThe sentence describes the current state of the labor market and economic activity without indicating any specific policy action or change in monetary policy stance.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=31, prompt_tokens=155, total_tokens=186, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')",2
"You know, stimulating aggregate demand is one thing, but where there’s a part of the economy that kind of will be resistant to that, you also need fiscal policy.","NEUTRAL  
The sentence discusses the need for fiscal policy in addition to stimulating aggregate demand, without indicating a specific stance on monetary policy tightening or easing.",0,"ModelResponse(id='chatcmpl-Aut6hIU1gDEofjLyBfHFWeUqIaGJi', created=1738121563, model='gpt-4o-2024-08-06', object='chat.completion', system_fingerprint='fp_50cad350e4', choices=[Choices(finish_reason='stop', index=0, message=Message(content='NEUTRAL  \nThe sentence discusses the need for fiscal policy in addition to stimulating aggregate demand, without indicating a specific stance on monetary policy tightening or easing.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=32, prompt_tokens=164, total_tokens=196, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')",2
Much of this performance was fueled by an investment boom that also contributed importantly to rapid growth in labor productivity.,"NEUTRAL  
The sentence describes economic performance and productivity growth without indicating any specific monetary policy action or stance.",0,"ModelResponse(id='chatcmpl-Aut6hRebMiEbbueovuDRq9lZGiWzf', created=1738121563, model='gpt-4o-2024-08-06', object='chat.completion', system_fingerprint='fp_50cad350e4', choices=[Choices(finish_reason='stop', index=0, message=Message(content='NEUTRAL  \nThe sentence describes economic performance and productivity growth without indicating any specific monetary policy action or stance.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=23, prompt_tokens=151, total_tokens=174, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')",2
"With about $250 billion of these inflation-protected securities now outstanding, we can get readings along the entire maturity structure of real interest rates.","NEUTRAL  
The sentence provides information about inflation-protected securities and real interest rates without indicating a change in monetary policy stance.",2,"ModelResponse(id='chatcmpl-Aut6isOH19YtnpHSfIRsTWV32Z8PO', created=1738121564, model='gpt-4o-2024-08-06', object='chat.completion', system_fingerprint='fp_50cad350e4', choices=[Choices(finish_reason='stop', index=0, message=Message(content='NEUTRAL  \nThe sentence provides information about inflation-protected securities and real interest rates without indicating a change in monetary policy stance.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=27, prompt_tokens=158, total_tokens=185, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')",2
"A few participants judged that while the labor market was close to full employment, some margins of slack remained; these participants pointed to the employment-to-population ratio or the labor force participation rate for prime-age workers, which remained below pre-recession levels, as well as the absence to date of clear signs of a pickup in aggregate wage growth.","DOVISH  
The sentence suggests that there is still some slack in the labor market and no clear signs of wage growth, indicating a potential need for easing monetary policy to support employment.",2,"ModelResponse(id='chatcmpl-Aut6jZ6zUhtVOpMVX6xlgUQYKwyWy', created=1738121565, model='gpt-4o-2024-08-06', object='chat.completion', system_fingerprint='fp_50cad350e4', choices=[Choices(finish_reason='stop', index=0, message=Message(content='DOVISH  \nThe sentence suggests that there is still some slack in the labor market and no clear signs of wage growth, indicating a potential need for easing monetary policy to support employment.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=38, prompt_tokens=198, total_tokens=236, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')",0
"Very low inflation and deflation pose qualitatively similar economic problems, though the magnitude of the associated costs can be expected to increase sharply as deflationary pressures intensify.","DOVISH  
The sentence highlights concerns about deflation and low inflation, suggesting a need for easing monetary policy to counteract these economic issues.",0,"ModelResponse(id='chatcmpl-Aut6k5wT6oWXdMwWpggbpUvxU05r5', created=1738121566, model='gpt-4o-2024-08-06', object='chat.completion', system_fingerprint='fp_50cad350e4', choices=[Choices(finish_reason='stop', index=0, message=Message(content='DOVISH  \nThe sentence highlights concerns about deflation and low inflation, suggesting a need for easing monetary policy to counteract these economic issues.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=30, prompt_tokens=164, total_tokens=194, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')",0
maintaining low and stable inflation.,"NEUTRAL  
The sentence refers to maintaining low and stable inflation, which does not directly indicate a change in monetary policy stance towards tightening or easing.",2,"ModelResponse(id='chatcmpl-Aut6lX7bmkSmcl0GAmagObKliOyg1', created=1738121567, model='gpt-4o-2024-08-06', object='chat.completion', system_fingerprint='fp_50cad350e4', choices=[Choices(finish_reason='stop', index=0, message=Message(content='NEUTRAL  \nThe sentence refers to maintaining low and stable inflation, which does not directly indicate a change in monetary policy stance towards tightening or easing.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=31, prompt_tokens=136, total_tokens=167, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')",2
"There are, however, some problems with this story as the principal explanation for the favorable inflation performance.","NEUTRAL  
The sentence does not explicitly indicate a stance towards tightening or easing monetary policy; it merely mentions issues with an explanation related to inflation performance.",2,"ModelResponse(id='chatcmpl-Aut6mkFHp1wwBuhLiNYGJrt43TqBY', created=1738121568, model='gpt-4o-2024-08-06', object='chat.completion', system_fingerprint='fp_50cad350e4', choices=[Choices(finish_reason='stop', index=0, message=Message(content='NEUTRAL  \nThe sentence does not explicitly indicate a stance towards tightening or easing monetary policy; it merely mentions issues with an explanation related to inflation performance.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=32, prompt_tokens=150, total_tokens=182, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')",2
"Even so, most members viewed a slowing to a rate closer to most estimates of the growth of the economy's potential as a reasonable expectation.","NEUTRAL  
The sentence suggests an expectation of economic growth aligning with potential, without indicating a shift towards tightening or easing monetary policy.",2,"ModelResponse(id='chatcmpl-Aut6n0FnWjdNHL0QvdB3xFPv1Ra0s', created=1738121569, model='gpt-4o-2024-08-06', object='chat.completion', system_fingerprint='fp_50cad350e4', choices=[Choices(finish_reason='stop', index=0, message=Message(content='NEUTRAL  \nThe sentence suggests an expectation of economic growth aligning with potential, without indicating a shift towards tightening or easing monetary policy.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=28, prompt_tokens=158, total_tokens=186, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')",2
"Several commented that an asymmetric directive did not imply a commitment to tighten monetary policy at some point, whether during the intermeeting period or at a future meeting, but it did imply the need for special vigilance.","NEUTRAL  
The sentence indicates a need for vigilance but does not commit to tightening monetary policy, suggesting a neutral stance.",1,"ModelResponse(id='chatcmpl-Aut6nvUgZsjl1eQORxwoKNHUW4vfg', created=1738121569, model='gpt-4o-2024-08-06', object='chat.completion', system_fingerprint='fp_50cad350e4', choices=[Choices(finish_reason='stop', index=0, message=Message(content='NEUTRAL  \nThe sentence indicates a need for vigilance but does not commit to tightening monetary policy, suggesting a neutral stance.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=26, prompt_tokens=171, total_tokens=197, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')",2
"So we want to see that healthy process unfold as we decide what the true state of the economy is, and we think it will evolve in a way that will mean lower inflation.","NEUTRAL  
The sentence indicates an observation of economic conditions and expectations of lower inflation without explicitly suggesting a change in monetary policy stance.",0,"ModelResponse(id='chatcmpl-Aut6oCsAxQgrYzCaClz25BClOqhZr', created=1738121570, model='gpt-4o-2024-08-06', object='chat.completion', system_fingerprint='fp_50cad350e4', choices=[Choices(finish_reason='stop', index=0, message=Message(content='NEUTRAL  \nThe sentence indicates an observation of economic conditions and expectations of lower inflation without explicitly suggesting a change in monetary policy stance.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=28, prompt_tokens=166, total_tokens=194, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')",2
An easing of supply constraints was expected to support continued gains in economic activity and employment as well as a reduction in inflation.,"DOVISH  
The sentence suggests an expectation of improved economic conditions and reduced inflation due to easing supply constraints, which aligns with a more accommodative or easing monetary policy stance.",2,"ModelResponse(id='chatcmpl-Aut6pm3vmrbJKY3GMkqAxvSbXAVYz', created=1738121571, model='gpt-4o-2024-08-06', object='chat.completion', system_fingerprint='fp_50cad350e4', choices=[Choices(finish_reason='stop', index=0, message=Message(content='DOVISH  \nThe sentence suggests an expectation of improved economic conditions and reduced inflation due to easing supply constraints, which aligns with a more accommodative or easing monetary policy stance.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=36, prompt_tokens=154, total_tokens=190, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')",0
"The slower growth of M2 followed strong expansion in August and September, however, and growth since midyear was at about the same pace as in the first half of the year.","NEUTRAL  
The sentence describes the growth of M2 as being consistent with earlier in the year, indicating no significant change in monetary policy stance.",2,"ModelResponse(id='chatcmpl-Aut6qY3d7GnP2n4N5jYSv8pa23SnG', created=1738121572, model='gpt-4o-2024-08-06', object='chat.completion', system_fingerprint='fp_50cad350e4', choices=[Choices(finish_reason='stop', index=0, message=Message(content='NEUTRAL  \nThe sentence describes the growth of M2 as being consistent with earlier in the year, indicating no significant change in monetary policy stance.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=31, prompt_tokens=166, total_tokens=197, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')",2
Inflation targeting was also associated with increased communication and transparency designed to clarify the central bank's policy intentions.,"NEUTRAL  
The sentence describes a general practice of inflation targeting and communication without indicating a specific stance on monetary policy tightening or easing.",1,"ModelResponse(id='chatcmpl-Aut6qpv8FEIfk7xyJuzckDttMf2Qr', created=1738121572, model='gpt-4o-2024-08-06', object='chat.completion', system_fingerprint='fp_50cad350e4', choices=[Choices(finish_reason='stop', index=0, message=Message(content='NEUTRAL  \nThe sentence describes a general practice of inflation targeting and communication without indicating a specific stance on monetary policy tightening or easing.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=28, prompt_tokens=150, total_tokens=178, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')",2
"Deflation, like inflation, would distort resource allocation and interfere with the economy's ability to reach its full potential.","NEUTRAL  
The sentence discusses the effects of deflation and inflation on the economy without indicating a specific policy action or stance.",0,"ModelResponse(id='chatcmpl-Aut6rAoG0IwkP8CRmz3FrerYgcfez', created=1738121573, model='gpt-4o-2024-08-06', object='chat.completion', system_fingerprint='fp_50cad350e4', choices=[Choices(finish_reason='stop', index=0, message=Message(content='NEUTRAL  \nThe sentence discusses the effects of deflation and inflation on the economy without indicating a specific policy action or stance.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=27, prompt_tokens=153, total_tokens=180, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')",2
"Broad equity prices rose, adding to their substantial gains since the middle of 2010.","NEUTRAL  
The sentence describes a rise in equity prices without indicating any specific monetary policy action or stance.",2,"ModelResponse(id='chatcmpl-Aut6sX1DBuYT7kDmGJ2z73Zy8fPLC', created=1738121574, model='gpt-4o-2024-08-06', object='chat.completion', system_fingerprint='fp_50cad350e4', choices=[Choices(finish_reason='stop', index=0, message=Message(content='NEUTRAL  \nThe sentence describes a rise in equity prices without indicating any specific monetary policy action or stance.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=23, prompt_tokens=148, total_tokens=171, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')",2
"Retail energy prices were likely to retrace at least a portion of the post-hurricane increase, and consumer confidence should rebound.","NEUTRAL  
The sentence discusses expected changes in retail energy prices and consumer confidence without indicating a direct monetary policy action.",2,"ModelResponse(id='chatcmpl-Aut6t5CG9rxiz9eAig7uyKkzlqRTk', created=1738121575, model='gpt-4o-2024-08-06', object='chat.completion', system_fingerprint='fp_50cad350e4', choices=[Choices(finish_reason='stop', index=0, message=Message(content='NEUTRAL  \nThe sentence discusses expected changes in retail energy prices and consumer confidence without indicating a direct monetary policy action.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=25, prompt_tokens=155, total_tokens=180, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')",2
"If the FOMC were to tie mechanically our actions to market prices, then we would be placed in the sorry position of validating whatever whim that currently struck investors' fancy.","NEUTRAL  
The sentence discusses the potential consequences of tying actions to market prices without indicating a specific policy direction, making it neutral.",2,"ModelResponse(id='chatcmpl-Aut6t0ePM5tSIa8kUNk3lyvHoQQrQ', created=1738121575, model='gpt-4o-2024-08-06', object='chat.completion', system_fingerprint='fp_50cad350e4', choices=[Choices(finish_reason='stop', index=0, message=Message(content='NEUTRAL  \nThe sentence discusses the potential consequences of tying actions to market prices without indicating a specific policy direction, making it neutral.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=28, prompt_tokens=165, total_tokens=193, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')",2
We want to see lower unemployment.,"NEUTRAL  
The sentence expresses a general economic goal without indicating a specific monetary policy action.",0,"ModelResponse(id='chatcmpl-Aut6uE0s0VXaVCaYuQBjdNiUpEbJH', created=1738121576, model='gpt-4o-2024-08-06', object='chat.completion', system_fingerprint='fp_50cad350e4', choices=[Choices(finish_reason='stop', index=0, message=Message(content='NEUTRAL  \nThe sentence expresses a general economic goal without indicating a specific monetary policy action.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=20, prompt_tokens=137, total_tokens=157, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')",2
Presumably even normal amortized equity that did not come from higher home prices was extracted in this manner.,"NEUTRAL  
The sentence does not directly relate to monetary policy actions or stances such as tightening or easing.",2,"ModelResponse(id='chatcmpl-Aut6vSJzCgYLViMV3gOsAoUptxxRz', created=1738121577, model='gpt-4o-2024-08-06', object='chat.completion', system_fingerprint='fp_50cad350e4', choices=[Choices(finish_reason='stop', index=0, message=Message(content='NEUTRAL  \nThe sentence does not directly relate to monetary policy actions or stances such as tightening or easing.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=24, prompt_tokens=151, total_tokens=175, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')",2
