context,llm_responses,actual_target,actual_sentiment,complete_responses,extraction_model_response,extraction_response,regex_extraction
"Sentence: Britain's FTSE steadies, supported by Dixons Carphone. Snippets: Britain's FTSE steadies, supported by Dixons Carphone. Target aspect: Dixons Carphone",,Dixons Carphone,0.329,"ModelResponse(id='chatcmpl-AvESEvNioEnGY1i9Db6CRhC50lJ5T', created=1738203622, model='o1-mini-2024-09-12', object='chat.completion', system_fingerprint='fp_f56e40de61', choices=[Choices(finish_reason='length', index=0, message=Message(content='', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=128, prompt_tokens=123, total_tokens=251, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=128, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')","ModelResponse(id='90a721232f291752', created=1738299535, model='together_ai/meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='-1', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=3, prompt_tokens=57, total_tokens=60, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",-1,
Sentence: Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano. Snippets: Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano. Target aspect: Glaxo,,Glaxo,0.284,"ModelResponse(id='chatcmpl-AvESHKIsXYbXQUR52MDsejXZ47LzS', created=1738203625, model='o1-mini-2024-09-12', object='chat.completion', system_fingerprint='fp_f56e40de61', choices=[Choices(finish_reason='length', index=0, message=Message(content='', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=128, prompt_tokens=125, total_tokens=253, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=128, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')","ModelResponse(id='90a721230c7420c4', created=1738299536, model='together_ai/meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='-1', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=3, prompt_tokens=57, total_tokens=60, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",-1,
Sentence: AstraZeneca sells Caprelsa rights to Sanofi unit. Snippets: AstraZeneca sells Caprelsa rights to Sanofi unit. Target aspect: Sanofi,,Sanofi,0.233,"ModelResponse(id='chatcmpl-AvESJhicMcopJfDFKTc3mSNYj7kpf', created=1738203627, model='o1-mini-2024-09-12', object='chat.completion', system_fingerprint='fp_f56e40de61', choices=[Choices(finish_reason='length', index=0, message=Message(content='', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=128, prompt_tokens=119, total_tokens=247, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=128, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')","ModelResponse(id='90a721233b0b6fa3', created=1738299535, model='together_ai/meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='-1', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=3, prompt_tokens=57, total_tokens=60, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",-1,
Sentence: UPDATE 5-Barclays Chairman McFarlane axes CEO to speed up strategic change. Snippets: UPDATE 5-Barclays Chairman McFarlane axes CEO to speed up strategic change. Target aspect: Barclays,,Barclays,-0.229,"ModelResponse(id='chatcmpl-AvESKhQD7RXQRclVJUcQU9VdwLeBk', created=1738203628, model='o1-mini-2024-09-12', object='chat.completion', system_fingerprint='fp_f56e40de61', choices=[Choices(finish_reason='length', index=0, message=Message(content='', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=128, prompt_tokens=132, total_tokens=260, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=128, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')","ModelResponse(id='90a721230932801b', created=1738299535, model='together_ai/meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='-1', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=3, prompt_tokens=57, total_tokens=60, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",-1,
Sentence: Miners Meltdown as BHP to Rio Tinto Sink in Commodities Rout. Snippets: Miners Meltdown as BHP to Rio Tinto Sink in Commodities Rout. Target aspect: Rio Tinto,,Rio Tinto,-0.665,"ModelResponse(id='chatcmpl-AvESMPjsn7ScBFOLHOX0bjRaFpCEy', created=1738203630, model='o1-mini-2024-09-12', object='chat.completion', system_fingerprint='fp_f56e40de61', choices=[Choices(finish_reason='length', index=0, message=Message(content='', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=128, prompt_tokens=130, total_tokens=258, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=128, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')","ModelResponse(id='90a721234869e621', created=1738299535, model='together_ai/meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='-1', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=3, prompt_tokens=57, total_tokens=60, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",-1,
"Sentence: FTSE led lower by M&S, GlaxoSmithKline. Snippets: FTSE led lower by M&S, GlaxoSmithKline. Target aspect: M&S",,M&S,-0.448,"ModelResponse(id='chatcmpl-AvESPa6jxuKSco7fCe9SUOlUFkHOG', created=1738203633, model='o1-mini-2024-09-12', object='chat.completion', system_fingerprint='fp_f56e40de61', choices=[Choices(finish_reason='length', index=0, message=Message(content='', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=128, prompt_tokens=123, total_tokens=251, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=128, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')","ModelResponse(id='90a721232af53b8c', created=1738299535, model='together_ai/meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='-1', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=3, prompt_tokens=57, total_tokens=60, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",-1,
Sentence: Morrisons faces festive sales test. Snippets: Morrisons faces festive sales test. Target aspect: Morrisons,,Morrisons,-0.113,"ModelResponse(id='chatcmpl-AvESQDFBfCSTjQok1ZLccTzkr2bBB', created=1738203634, model='o1-mini-2024-09-12', object='chat.completion', system_fingerprint='fp_f56e40de61', choices=[Choices(finish_reason='length', index=0, message=Message(content='', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=128, prompt_tokens=109, total_tokens=237, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=128, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')","ModelResponse(id='90a7212329ecc9ab', created=1738299535, model='together_ai/meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='-1', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=3, prompt_tokens=57, total_tokens=60, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",-1,
Sentence: GKN to buy Fokker Technologies for 706 mln euros. Snippets: GKN to buy Fokker Technologies for 706 mln euros. Target aspect: GKN,,GKN,0.276,"ModelResponse(id='chatcmpl-AvEST3Ks1jkyUsDJxwmd4NlbOIWGF', created=1738203637, model='o1-mini-2024-09-12', object='chat.completion', system_fingerprint='fp_f56e40de61', choices=[Choices(finish_reason='length', index=0, message=Message(content='', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=128, prompt_tokens=123, total_tokens=251, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=128, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')","ModelResponse(id='90a72122fe70e627', created=1738299535, model='together_ai/meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='-1', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=3, prompt_tokens=57, total_tokens=60, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",-1,
Sentence: Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group. Snippets: Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group. Target aspect: Ennismore Group,,Ennismore Group,0.198,"ModelResponse(id='chatcmpl-AvESVpqfMroe368Z7ZQ9dbL0VUMt4', created=1738203639, model='o1-mini-2024-09-12', object='chat.completion', system_fingerprint='fp_f56e40de61', choices=[Choices(finish_reason='length', index=0, message=Message(content='', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=128, prompt_tokens=133, total_tokens=261, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=128, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')","ModelResponse(id='90a721233eead6dc', created=1738299535, model='together_ai/meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='-1', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=3, prompt_tokens=57, total_tokens=60, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",-1,
"Sentence: UPDATE: CIB, Legal & General Sell Egyptian Life Joint Venture To AXA. Snippets: UPDATE: CIB, Legal & General Sell Egyptian Life Joint Venture To AXA. Target aspect: CIB",,CIB,0.148,"ModelResponse(id='chatcmpl-AvESXatH2Sss7Pnezl0uwkEtvqBCG', created=1738203641, model='o1-mini-2024-09-12', object='chat.completion', system_fingerprint='fp_f56e40de61', choices=[Choices(finish_reason='length', index=0, message=Message(content='', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=128, prompt_tokens=129, total_tokens=257, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=128, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')","ModelResponse(id='90a721233af72009', created=1738299535, model='together_ai/meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='-1', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=3, prompt_tokens=57, total_tokens=60, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",-1,
