texts,llm_responses,actual_labels,complete_responses
"The stock price rose 70.0 ores or 0.9 % to close at SEK77 .65 , ending a two-day streak of losses .",1,0,1
"`` Installation of the automatic varnishing line is an important part of the company 's strategy in the region of central and eastern Europe , '' said Jozef Misurec , the director of Ruukki Slovakia .",1,0,1
Finnish Aldata Solution has signed a contract of supply its G.O.L.D. system to two French retail chains .,1,0,1
"Operating loss totalled EUR 5.2 mn , compared to a loss of EUR 3.4 mn in the corresponding period in 2008-2009 .",2,1,2
Kaupthing Bank will publish its annual results for 2007 before markets open on Thursday 31 January .,1,2,1
"`` The biggest challenge was to make the piece look raw , '' Hansen said .",1,2,1
"Tiimari Latvian representative Ineta Zaharova said that the company earned LVL 122,000 in 2005 profit , which is 20 times more that in 2004 .",1,0,1
"Oriola-KD , headquartered in Espoo , Finland , is a leading distributor of pharmaceutical and healthcare products with 1,300 employees in the Nordic and Baltic countries .",1,2,1
Connectivity Services include outsourced Scan and Capture which transfers paper invoices into electronic format and Basware Business Transactions Service enables the customer to receive and send invoices in an electronic format .,2,2,2
"In food trade , sales amounted to EUR320 .1 m , a decline of 1.1 % .",2,1,2
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",2,2,2
Operating profit rose to EUR 13.5 mn from EUR 9.7 mn in the corresponding period in 2006 .,1,0,1
The company did not distribute a dividend in 2005 .,2,2,2
"Componenta is a metal sector company with international operations and production plants located in Finland , the Netherlands , Sweden and Turkey .",2,2,2
"The company has established a 3G base station at about 17,000 feet at the foot of Mount Everest that will enable mountain climbers at the 29,035-foot summit to surf the Internet and even send videos of their exploits .",1,0,1
"As production of other products will continue normally , temporary lay-offs concern simultaneously at most 80 employees .",2,1,2
"In Finland , metal sector company Componenta is laying off temporarily the staff of its Pori mill from Christmas 2008 till 6 January 2009 .",2,1,2
The amendment will not incur additional costs .,1,2,1
Finnish house manufacturers are targeting the strongly growing one-family house market in Russia .,1,2,1
"Tulikivi manufactures heat-retaining , soapstone and ceramic fireplaces , as well as natural stone products and utility ceramics .",1,2,1
Panostaja did not disclose the purchase price .,2,2,2
"Participants at any of the book discussions or other special events , or visitors to the car dealership were eligible to enter the drawing for the 2005 silver , four-door Altima .",2,2,2
18:30 Dinner The conference program can also be viewed as a live audio webcast through the internet pages at www.citycon.com .,1,2,1
"As a result of these transactions , the aggregate holdings of Burrill Life Sciences Capital Fund , L.P. has decreased below 5 per cent of the total number of shares and votes of the Company .",2,1,2
"The value of the deal exceeds EUR500 ,000 , the company said .",1,2,1
Earnings per share ( EPS ) in 2005 decreased to EUR1 .87 from EUR1 .89 in 2003 .,2,1,2
"Savon koulutuskuntayhtyma , Finland based company has awarded contract for specialist agricultural or forestry machinery .",1,0,1
"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",2,2,2
"KONE , headquartered in Espoo , Finland , is one of the world 's leading elevator and escalator companies .",0,2,0
The company aims to maintain this trend in profitability during the current year .,1,0,1
The company 's board of directors has proposed a dividend of EUR0 .12 per share for 2006 .,1,2,1
"Previously , Vaahto Pulp has supplied headboxes with rectifier roll and dilution control technology for Stora Enso 's mill in Imatra , eastern Finland .",2,2,2
A total of $ 78 million will be invested in the project .,1,2,1
"The machine will have an annual production capacity of 200,000 tonnes of super-calendered magazine paper and other paper grades based on recovered fiber , Stora Enso said .",2,2,2
The expanded plant is scheduled to be operational by the middle of October 2009 .,2,2,2
Basware finances the acquisition with a bank loan .,1,2,1
"In Asia earlier , Japan 's Nikkei index fell 0.62 percent and Hong Kong 's Hang Seng Index rose 0.56 percent .",2,2,2
The negotiations will concern the plant 's department producing winded roving that employs 10 people .,2,2,2
"Operating profit was EUR 139.7 mn , up 23 % from EUR 113.8 mn .",1,0,1
"Previously , the company anticipated its operating profit to improve over the same period .",1,0,1
"The share capital of Alma Media Corporation (business ID 1944757-4)is EUR 45,031,513.80 and it is divided into 75,052,523 shares .",2,2,2
"The company , which has EUR2 .8 bn in assets , counts among its five largest shareholders Finnish insurers Ilmarinen 4.34 % and Varma 0.70 % , as well as the Finnish state pension fund VER 0.61 % .",1,2,1
