documents,llm_responses,actual_labels,complete_responses
How do I locate my card?,"card_arrival
",11,"ModelResponse(id='chatcmpl-3deabb56-fcdd-4f24-ab63-499d021b777c', created=1739131647, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=646, total_tokens=650, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
"I still have not received my new card, I ordered over a week ago.","card_arrival
",11,"ModelResponse(id='chatcmpl-7e55b2b7-8d3a-43be-9547-8743fa0be498', created=1739131647, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=655, total_tokens=659, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
I ordered a card but it has not arrived. Help please!,"card_arrival
",11,"ModelResponse(id='chatcmpl-6451547d-3b76-4203-aa5d-f408d35d51d4', created=1739131648, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=652, total_tokens=656, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
Is there a way to know when my card will arrive?,"card_arrival
",11,"ModelResponse(id='chatcmpl-8e091472-4d31-4ddb-adbd-d45e1e593f52', created=1739131649, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=651, total_tokens=655, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
My card has not arrived yet.,"card_arrival
",11,"ModelResponse(id='chatcmpl-e1d4a9cd-c471-490c-8355-f9a232a37925', created=1739131649, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=646, total_tokens=650, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
When will I get my card?,"card_arrival
",11,"ModelResponse(id='chatcmpl-25b7b7fc-d107-432a-9e00-5f6e0751ce71', created=1739131650, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=646, total_tokens=650, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
Do you know if there is a tracking number for the new card you sent me?,"card_arrival
",11,"ModelResponse(id='chatcmpl-81522baa-902c-45dd-803f-eb988670e0c4', created=1739131651, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=656, total_tokens=660, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
i have not received my card,"card_arrival
",11,"ModelResponse(id='chatcmpl-1e9f6eb0-56e4-42de-8643-a59a6e2e2721', created=1739131651, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=645, total_tokens=649, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
still waiting on that card,"card_arrival
",11,"ModelResponse(id='chatcmpl-af31007f-5cfc-45ae-ab01-40821303b44c', created=1739131652, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=644, total_tokens=648, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
Is it normal to have to wait over a week for my new card?,"card_arrival
",11,"ModelResponse(id='chatcmpl-7ad3a7b2-5979-4579-9d91-b38df6e05237', created=1739131653, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=654, total_tokens=658, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
How do I track my card?,"card_arrival
",11,"ModelResponse(id='chatcmpl-cbc7cc0a-78d9-4d02-be3a-48facf8c3c2e', created=1739131653, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=646, total_tokens=650, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
How long does a card delivery take?,"card_delivery_estimate
",11,"ModelResponse(id='chatcmpl-a239d6ed-4c5c-4d38-8a2f-46d0af6480b0', created=1739131654, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_delivery_estimate\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=6, prompt_tokens=647, total_tokens=653, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
I still don't have my card after 2 weeks.  What should I do?,"card_arrival
",11,"ModelResponse(id='chatcmpl-cf4c74cc-ff3a-4ad9-b9ab-247fa6b7b384', created=1739131654, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=658, total_tokens=662, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
