texts,llm_responses,actual_labels,complete_responses,extracted_labels
"The stock price rose 70.0 ores or 0.9 % to close at SEK77 .65 , ending a two-day streak of losses .",2 - Indirect causal,0,"ModelResponse(id='8f124705b85301e0-YYC', created=1734054354, model='together_ai/mistralai/Mixtral-8x22B-Instruct-v0.1', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content=' 2 - Indirect causal', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=8, prompt_tokens=120, total_tokens=128, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",2
"`` Installation of the automatic varnishing line is an important part of the company 's strategy in the region of central and eastern Europe , '' said Jozef Misurec , the director of Ruukki Slovakia .",0,0,"ModelResponse(id='8f124705bd85bec7-YYC', created=1734054354, model='together_ai/mistralai/Mixtral-8x22B-Instruct-v0.1', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content=' 0', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=3, prompt_tokens=131, total_tokens=134, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",0
Finnish Aldata Solution has signed a contract of supply its G.O.L.D. system to two French retail chains .,0,0,"ModelResponse(id='8f124705eac2bef9-YYC', created=1734054354, model='together_ai/mistralai/Mixtral-8x22B-Instruct-v0.1', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content=' 0', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=3, prompt_tokens=110, total_tokens=113, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",0
"Operating loss totalled EUR 5.2 mn , compared to a loss of EUR 3.4 mn in the corresponding period in 2008-2009 .",1 - Direct causal,1,"ModelResponse(id='8f124705c9bc01e4-YYC', created=1734054354, model='together_ai/mistralai/Mixtral-8x22B-Instruct-v0.1', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content=' 1 - Direct causal', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=7, prompt_tokens=126, total_tokens=133, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",1
Kaupthing Bank will publish its annual results for 2007 before markets open on Thursday 31 January .,0 - Non-causal,2,"ModelResponse(id='8f1247060849bec5-YYC', created=1734054354, model='together_ai/mistralai/Mixtral-8x22B-Instruct-v0.1', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content=' 0 - Non-causal', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=9, prompt_tokens=109, total_tokens=118, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",0
"`` The biggest challenge was to make the piece look raw , '' Hansen said .",0,2,"ModelResponse(id='8f124705fca5bef2-YYC', created=1734054354, model='together_ai/mistralai/Mixtral-8x22B-Instruct-v0.1', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content=' 0', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=3, prompt_tokens=100, total_tokens=103, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",0
"Tiimari Latvian representative Ineta Zaharova said that the company earned LVL 122,000 in 2005 profit , which is 20 times more that in 2004 .",1,0,"ModelResponse(id='8f124705e813bedb-YYC', created=1734054354, model='together_ai/mistralai/Mixtral-8x22B-Instruct-v0.1', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content=' 1', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=3, prompt_tokens=134, total_tokens=137, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",1
"Oriola-KD , headquartered in Espoo , Finland , is a leading distributor of pharmaceutical and healthcare products with 1,300 employees in the Nordic and Baltic countries .",0,2,"ModelResponse(id='8f124705cdeebee0-YYC', created=1734054354, model='together_ai/mistralai/Mixtral-8x22B-Instruct-v0.1', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content=' 0', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=3, prompt_tokens=128, total_tokens=131, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",0
Connectivity Services include outsourced Scan and Capture which transfers paper invoices into electronic format and Basware Business Transactions Service enables the customer to receive and send invoices in an electronic format .,2 - Indirect causal,2,"ModelResponse(id='8f124705c93b01d0-YYC', created=1734054354, model='together_ai/mistralai/Mixtral-8x22B-Instruct-v0.1', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content=' 2 - Indirect causal', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=8, prompt_tokens=127, total_tokens=135, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",2
"In food trade , sales amounted to EUR320 .1 m , a decline of 1.1 % .",0,1,"ModelResponse(id='8f124705bdccbee0-YYC', created=1734054354, model='together_ai/mistralai/Mixtral-8x22B-Instruct-v0.1', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content=' 0', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=3, prompt_tokens=109, total_tokens=112, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",0
