documents,llm_responses,actual_labels,complete_responses,extracted_labels
How do I locate my card?,**card_delivery_estimate**.,11,"ModelResponse(id='chatcmpl-5e5cb35c-ceeb-75cc-f763-25d5891642b1', created=1738119849, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='**card_delivery_estimate**.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=10, prompt_tokens=774, total_tokens=784, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)",12
"I still have not received my new card, I ordered over a week ago.",card_arrival.,11,"ModelResponse(id='chatcmpl-67419797-47c1-3316-9375-ece030be2b2e', created=1738119850, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=6, prompt_tokens=783, total_tokens=789, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)",11
I ordered a card but it has not arrived. Help please!,"The sentence ""I ordered a card but it has not arrived. Help please!"" belongs to the category **card_arrival**.",11,"ModelResponse(id='chatcmpl-2b85f704-7c1e-0238-c3de-8c21a1077809', created=1738119850, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""I ordered a card but it has not arrived. Help please!"" belongs to the category **card_arrival**.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=28, prompt_tokens=780, total_tokens=808, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)",11
Is there a way to know when my card will arrive?,"Yes, the sentence ""Is there a way to know when my card will arrive?"" belongs to the category **card_delivery_estimate**. This category pertains to inquiries about the estimated arrival time of a card.",11,"ModelResponse(id='chatcmpl-8faf3153-d8ce-13ea-7e98-e38021272080', created=1738119851, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='Yes, the sentence ""Is there a way to know when my card will arrive?"" belongs to the category **card_delivery_estimate**. This category pertains to inquiries about the estimated arrival time of a card.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=45, prompt_tokens=779, total_tokens=824, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)",11
My card has not arrived yet.,"The sentence ""My card has not arrived yet."" belongs to the category **card_arrival**.",11,"ModelResponse(id='chatcmpl-20520153-6c47-a3c0-7b5e-cb4b872740c8', created=1738119851, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""My card has not arrived yet."" belongs to the category **card_arrival**.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=22, prompt_tokens=774, total_tokens=796, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)",11
When will I get my card?,card_delivery_estimate.,11,"ModelResponse(id='chatcmpl-9ec290c7-5e10-090c-88d4-caa3b1bfbaa7', created=1738119851, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_delivery_estimate.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=8, prompt_tokens=774, total_tokens=782, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)",12
Do you know if there is a tracking number for the new card you sent me?,"The sentence ""Do you know if there is a tracking number for the new card you sent me?"" belongs to the category **card_delivery_estimate**.",11,"ModelResponse(id='chatcmpl-ba96e93e-8f67-48e0-a40c-45356f9f46e7', created=1738119852, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""Do you know if there is a tracking number for the new card you sent me?"" belongs to the category **card_delivery_estimate**.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=34, prompt_tokens=784, total_tokens=818, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)",11
i have not received my card,"The sentence ""I have not received my card"" belongs to the category **card_arrival**.",11,"ModelResponse(id='chatcmpl-44b9ad6c-b17b-b43d-09da-82aa4bf4de5d', created=1738119852, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""I have not received my card"" belongs to the category **card_arrival**.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=22, prompt_tokens=773, total_tokens=795, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)",11
still waiting on that card,"The sentence ""still waiting on that card"" belongs to the category **card_arrival**.",11,"ModelResponse(id='chatcmpl-0709a490-c89f-3cc8-0906-653b1c12bac9', created=1738119853, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""still waiting on that card"" belongs to the category **card_arrival**.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=21, prompt_tokens=772, total_tokens=793, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)",11
Is it normal to have to wait over a week for my new card?,"No, it is not normal to have to wait over a week for your new card. This sentence belongs to the category **card_delivery_estimate**.",11,"ModelResponse(id='chatcmpl-be151ca5-274a-199e-c2c8-ee5ba1f9336e', created=1738119853, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='No, it is not normal to have to wait over a week for your new card. This sentence belongs to the category **card_delivery_estimate**.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=34, prompt_tokens=782, total_tokens=816, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)",12
How do I track my card?,**card_delivery_estimate**.,11,"ModelResponse(id='chatcmpl-3e7823e9-a690-bb82-c06c-e82286fd6c24', created=1738119854, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='**card_delivery_estimate**.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=10, prompt_tokens=774, total_tokens=784, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)",12
How long does a card delivery take?,"The sentence ""How long does a card delivery take?"" belongs to the category **card_delivery_estimate**.",11,"ModelResponse(id='chatcmpl-91039814-ee58-0f5f-77dd-a37306363d89', created=1738119854, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""How long does a card delivery take?"" belongs to the category **card_delivery_estimate**.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=25, prompt_tokens=775, total_tokens=800, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)",12
I still don't have my card after 2 weeks.  What should I do?,"The sentence ""I still don't have my card after 2 weeks. What should I do?"" belongs to the category **card_arrival**.",11,"ModelResponse(id='chatcmpl-bc276d99-a718-7f67-83c0-48f8bfbeea96', created=1738119855, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""I still don\'t have my card after 2 weeks. What should I do?"" belongs to the category **card_arrival**.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=33, prompt_tokens=786, total_tokens=819, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)",11
