documents,llm_responses,actual_labels,complete_responses,extracted_labels
How do I locate my card?,"The sentence ""How do I locate my card?"" belongs to the category 'getting_spare_card'.",11,"id='8cda7d9d7ca342b5-EWR' object=<ObjectType.ChatCompletion: 'chat.completion'> created=1728100679 model='meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo' choices=[ChatCompletionChoicesData(index=0, logprobs=None, seed=11846418454124870000, finish_reason=<FinishReason.EOS: 'eos'>, message=ChatCompletionMessage(role=<MessageRole.ASSISTANT: 'assistant'>, content='The sentence ""How do I locate my card?"" belongs to the category \'getting_spare_card\'.', tool_calls=[]))] prompt=[] usage=UsageData(prompt_tokens=547, completion_tokens=21, total_tokens=568)",39
"I still have not received my new card, I ordered over a week ago.","The sentence ""I still have not received my new card, I ordered over a week ago"" belongs to the category: 'card_arrival'.",11,"id='8cda7da1e80142b5-EWR' object=<ObjectType.ChatCompletion: 'chat.completion'> created=1728100680 model='meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo' choices=[ChatCompletionChoicesData(index=0, logprobs=None, seed=9021576329434142000, finish_reason=<FinishReason.EOS: 'eos'>, message=ChatCompletionMessage(role=<MessageRole.ASSISTANT: 'assistant'>, content='The sentence ""I still have not received my new card, I ordered over a week ago"" belongs to the category: \'card_arrival\'.', tool_calls=[]))] prompt=[] usage=UsageData(prompt_tokens=556, completion_tokens=30, total_tokens=586)",11
I ordered a card but it has not arrived. Help please!,"The sentence ""I ordered a card but it has not arrived. Help please!"" belongs to the category: 'card_arrival'.",11,"id='8cda7da42a0642b5-EWR' object=<ObjectType.ChatCompletion: 'chat.completion'> created=1728100681 model='meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo' choices=[ChatCompletionChoicesData(index=0, logprobs=None, seed=15315957353014985000, finish_reason=<FinishReason.EOS: 'eos'>, message=ChatCompletionMessage(role=<MessageRole.ASSISTANT: 'assistant'>, content='The sentence ""I ordered a card but it has not arrived. Help please!"" belongs to the category: \'card_arrival\'.', tool_calls=[]))] prompt=[] usage=UsageData(prompt_tokens=553, completion_tokens=27, total_tokens=580)",11
Is there a way to know when my card will arrive?,"The sentence ""Is there a way to know when my card will arrive?"" belongs to the category 'card_arrival'.",11,"id='8cda7da8fee642b5-EWR' object=<ObjectType.ChatCompletion: 'chat.completion'> created=1728100681 model='meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo' choices=[ChatCompletionChoicesData(index=0, logprobs=None, seed=4588552841175321600, finish_reason=<FinishReason.EOS: 'eos'>, message=ChatCompletionMessage(role=<MessageRole.ASSISTANT: 'assistant'>, content='The sentence ""Is there a way to know when my card will arrive?"" belongs to the category \'card_arrival\'.', tool_calls=[]))] prompt=[] usage=UsageData(prompt_tokens=552, completion_tokens=25, total_tokens=577)",11
My card has not arrived yet.,"The sentence ""My card has not arrived yet"" belongs to the category: 'card_arrival'.",11,"id='8cda7dac7a5742b5-EWR' object=<ObjectType.ChatCompletion: 'chat.completion'> created=1728100681 model='meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo' choices=[ChatCompletionChoicesData(index=0, logprobs=None, seed=18267924117657946000, finish_reason=<FinishReason.EOS: 'eos'>, message=ChatCompletionMessage(role=<MessageRole.ASSISTANT: 'assistant'>, content='The sentence ""My card has not arrived yet"" belongs to the category: \'card_arrival\'.', tool_calls=[]))] prompt=[] usage=UsageData(prompt_tokens=547, completion_tokens=21, total_tokens=568)",11
When will I get my card?,"The sentence ""When will I get my card?"" belongs to the category: 'card_arrival'.",11,"id='8cda7dae7c1442b5-EWR' object=<ObjectType.ChatCompletion: 'chat.completion'> created=1728100682 model='meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo' choices=[ChatCompletionChoicesData(index=0, logprobs=None, seed=16099948534743511000, finish_reason=<FinishReason.EOS: 'eos'>, message=ChatCompletionMessage(role=<MessageRole.ASSISTANT: 'assistant'>, content='The sentence ""When will I get my card?"" belongs to the category: \'card_arrival\'.', tool_calls=[]))] prompt=[] usage=UsageData(prompt_tokens=547, completion_tokens=21, total_tokens=568)",11
Do you know if there is a tracking number for the new card you sent me?,"The sentence ""Do you know if there is a tracking number for the new card you sent me?"" belongs to the category: 'card_arrival'.",11,"id='8cda7db09dbb42b5-EWR' object=<ObjectType.ChatCompletion: 'chat.completion'> created=1728100682 model='meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo' choices=[ChatCompletionChoicesData(index=0, logprobs=None, seed=2694668935075487000, finish_reason=<FinishReason.EOS: 'eos'>, message=ChatCompletionMessage(role=<MessageRole.ASSISTANT: 'assistant'>, content='The sentence ""Do you know if there is a tracking number for the new card you sent me?"" belongs to the category: \'card_arrival\'.', tool_calls=[]))] prompt=[] usage=UsageData(prompt_tokens=557, completion_tokens=31, total_tokens=588)",11
i have not received my card,"The sentence ""I have not received my card"" belongs to the category: 'card_arrival'.",11,"id='8cda7db2bf7f42b5-EWR' object=<ObjectType.ChatCompletion: 'chat.completion'> created=1728100683 model='meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo' choices=[ChatCompletionChoicesData(index=0, logprobs=None, seed=7685673611054222000, finish_reason=<FinishReason.EOS: 'eos'>, message=ChatCompletionMessage(role=<MessageRole.ASSISTANT: 'assistant'>, content='The sentence ""I have not received my card"" belongs to the category: \'card_arrival\'.', tool_calls=[]))] prompt=[] usage=UsageData(prompt_tokens=546, completion_tokens=21, total_tokens=567)",11
still waiting on that card,"The sentence ""still waiting on that card"" belongs to the category: 'card_arrival'.",11,"id='8cda7db6ab6642b5-EWR' object=<ObjectType.ChatCompletion: 'chat.completion'> created=1728100683 model='meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo' choices=[ChatCompletionChoicesData(index=0, logprobs=None, seed=10459248841090198000, finish_reason=<FinishReason.EOS: 'eos'>, message=ChatCompletionMessage(role=<MessageRole.ASSISTANT: 'assistant'>, content='The sentence ""still waiting on that card"" belongs to the category: \'card_arrival\'.', tool_calls=[]))] prompt=[] usage=UsageData(prompt_tokens=545, completion_tokens=20, total_tokens=565)",11
Is it normal to have to wait over a week for my new card?,"The sentence ""Is it normal to have to wait over a week for my new card?"" belongs to the category of 'card_arrival'.",11,"id='8cda7db89d3742b5-EWR' object=<ObjectType.ChatCompletion: 'chat.completion'> created=1728100683 model='meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo' choices=[ChatCompletionChoicesData(index=0, logprobs=None, seed=11144089706340130000, finish_reason=<FinishReason.EOS: 'eos'>, message=ChatCompletionMessage(role=<MessageRole.ASSISTANT: 'assistant'>, content='The sentence ""Is it normal to have to wait over a week for my new card?"" belongs to the category of \'card_arrival\'.', tool_calls=[]))] prompt=[] usage=UsageData(prompt_tokens=555, completion_tokens=29, total_tokens=584)",11
