documents,llm_responses,actual_labels,complete_responses
How do I locate my card?,"  Based on the list of categories provided, the sentence ""How do I locate my card?"" belongs to the category of ""lost_or_stolen_card"".",11,"ModelResponse(id='8e8c74dc78bb2ed8-LAX', created=1732651140, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='  Based on the list of categories provided, the sentence ""How do I locate my card?"" belongs to the category of ""lost_or_stolen_card"".', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=35, prompt_tokens=751, total_tokens=786, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
"I still have not received my new card, I ordered over a week ago.","  Based on the list of categories provided, the sentence ""I still have not received my new card, I ordered over a week ago"" belongs to the category of ""card_arrival"" or ""card_delivery_estimate"".",11,"ModelResponse(id='8e8c74e31a952ed8-LAX', created=1732651141, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='  Based on the list of categories provided, the sentence ""I still have not received my new card, I ordered over a week ago"" belongs to the category of ""card_arrival"" or ""card_delivery_estimate"".', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=50, prompt_tokens=760, total_tokens=810, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
I ordered a card but it has not arrived. Help please!,"  Based on the list of categories provided, the sentence ""I ordered a card but it has not arrived. Help please!"" belongs to the category of ""card_arrival"" or ""getting_virtual_card"" or ""getting_physical_card"".",11,"ModelResponse(id='8e8c74e859642ed8-LAX', created=1732651143, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='  Based on the list of categories provided, the sentence ""I ordered a card but it has not arrived. Help please!"" belongs to the category of ""card_arrival"" or ""getting_virtual_card"" or ""getting_physical_card"".', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=54, prompt_tokens=757, total_tokens=811, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
Is there a way to know when my card will arrive?,"  Sure! Based on the list of categories you provided, the sentence ""Is there a way to know when my card will arrive?"" belongs to the category of ""card_arrival"" or ""getting_physical_card"".",11,"ModelResponse(id='8e8c74f358e42ed8-LAX', created=1732651144, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='  Sure! Based on the list of categories you provided, the sentence ""Is there a way to know when my card will arrive?"" belongs to the category of ""card_arrival"" or ""getting_physical_card"".', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=48, prompt_tokens=756, total_tokens=804, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
My card has not arrived yet.,"  Based on the list of categories provided, the sentence ""My card has not arrived yet"" would fall under the category of ""card_arrival"" or ""card_delivery_estimate"".",11,"ModelResponse(id='8e8c74fa4a852ed8-LAX', created=1732651145, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='  Based on the list of categories provided, the sentence ""My card has not arrived yet"" would fall under the category of ""card_arrival"" or ""card_delivery_estimate"".', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=42, prompt_tokens=751, total_tokens=793, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
When will I get my card?,"  Based on the list of categories provided, the sentence ""When will I get my card?"" belongs to the category of ""card_arrival"" or ""getting_physical_card"".",11,"ModelResponse(id='8e8c75019d032ed8-LAX', created=1732651146, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='  Based on the list of categories provided, the sentence ""When will I get my card?"" belongs to the category of ""card_arrival"" or ""getting_physical_card"".', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=40, prompt_tokens=751, total_tokens=791, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
Do you know if there is a tracking number for the new card you sent me?,"  Sure! Based on the list of categories you provided, the sentence ""Do you know if there is a tracking number for the new card you sent me?"" belongs to the category of ""card_arrival"" or ""card_delivery_estimate"".",11,"ModelResponse(id='8e8c7507ff092ed8-LAX', created=1732651147, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='  Sure! Based on the list of categories you provided, the sentence ""Do you know if there is a tracking number for the new card you sent me?"" belongs to the category of ""card_arrival"" or ""card_delivery_estimate"".', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=54, prompt_tokens=761, total_tokens=815, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
i have not received my card,"  Based on the list of categories provided, the sentence ""I have not received my card"" belongs to the category of ""lost or stolen card"".",11,"ModelResponse(id='8e8c750eba9a2ed8-LAX', created=1732651148, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='  Based on the list of categories provided, the sentence ""I have not received my card"" belongs to the category of ""lost or stolen card"".', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=32, prompt_tokens=750, total_tokens=782, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
still waiting on that card,"  Based on the list of categories provided, the sentence ""still waiting on that card"" belongs to the category of ""card_arrival"" or ""card_delivery_estimate"".",11,"ModelResponse(id='8e8c7515acbd2ed8-LAX', created=1732651149, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='  Based on the list of categories provided, the sentence ""still waiting on that card"" belongs to the category of ""card_arrival"" or ""card_delivery_estimate"".', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=41, prompt_tokens=749, total_tokens=790, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
Is it normal to have to wait over a week for my new card?,"  Based on the list of categories provided, the sentence ""Is it normal to have to wait over a week for my new card?"" would fall under the category of ""card_arrival"" or ""card_delivery_estimate"".",11,"ModelResponse(id='8e8c751bdf8a2ed8-LAX', created=1732651150, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='  Based on the list of categories provided, the sentence ""Is it normal to have to wait over a week for my new card?"" would fall under the category of ""card_arrival"" or ""card_delivery_estimate"".', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=50, prompt_tokens=759, total_tokens=809, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
How do I track my card?,"  Based on the list of categories provided, the sentence ""How do I track my card?"" belongs to the category of ""card_arrival"" or ""card_delivery_estimate"".",11,"ModelResponse(id='8e8c752168702ed8-LAX', created=1732651151, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='  Based on the list of categories provided, the sentence ""How do I track my card?"" belongs to the category of ""card_arrival"" or ""card_delivery_estimate"".', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=41, prompt_tokens=751, total_tokens=792, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
How long does a card delivery take?,"  Based on the list of categories provided, the sentence ""How long does a card delivery take?"" belongs to the category of ""card_arrival"" or ""card_delivery_estimate"".",11,"ModelResponse(id='8e8c7526381e2ed8-LAX', created=1732651152, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='  Based on the list of categories provided, the sentence ""How long does a card delivery take?"" belongs to the category of ""card_arrival"" or ""card_delivery_estimate"".', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=42, prompt_tokens=752, total_tokens=794, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
I still don't have my card after 2 weeks.  What should I do?,"  Based on the list of categories provided, the sentence ""I still don't have my card after 2 weeks. What should I do?"" belongs to the category of ""lost_or_stolen_card"".",11,"ModelResponse(id='8e8c752bc9452ed8-LAX', created=1732651153, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='  Based on the list of categories provided, the sentence ""I still don\'t have my card after 2 weeks. What should I do?"" belongs to the category of ""lost_or_stolen_card"".', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=46, prompt_tokens=763, total_tokens=809, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
still waiting on my new card,"  Based on the list of categories provided, the sentence ""still waiting on my new card"" belongs to the category of ""card_arrival"" or ""card_delivery_estimate"".",11,"ModelResponse(id='8e8c7530f95d2ed8-LAX', created=1732651154, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='  Based on the list of categories provided, the sentence ""still waiting on my new card"" belongs to the category of ""card_arrival"" or ""card_delivery_estimate"".', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=42, prompt_tokens=750, total_tokens=792, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
I am still waiting for my card after 1 week.  Is this ok?,"  Based on the list of categories provided, the sentence ""I am still waiting for my card after 1 week. Is this ok?"" belongs to the category of ""card_arrival"" or ""card_delivery_estimate"".",11,"ModelResponse(id='8e8c753588de2ed8-LAX', created=1732651154, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='  Based on the list of categories provided, the sentence ""I am still waiting for my card after 1 week. Is this ok?"" belongs to the category of ""card_arrival"" or ""card_delivery_estimate"".', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=50, prompt_tokens=761, total_tokens=811, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
"I have been waiting longer than expected for my bank card, could you provide information on when it will arrive?","  Sure! Based on the list of categories you provided, the sentence ""I have been waiting longer than expected for my bank card, could you provide information on when it will arrive?"" belongs to the category of ""card_arrival"" or ""getting_physical_card"".",11,"ModelResponse(id='8e8c753a6fbb2ed8-LAX', created=1732651155, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='  Sure! Based on the list of categories you provided, the sentence ""I have been waiting longer than expected for my bank card, could you provide information on when it will arrive?"" belongs to the category of ""card_arrival"" or ""getting_physical_card"".', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=58, prompt_tokens=766, total_tokens=824, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
I've been waiting longer than expected for my card.,"  Based on the list of categories provided, the sentence ""I've been waiting longer than expected for my card"" belongs to the category of ""card_arrival"" or ""card_delivery_estimate"".",11,"ModelResponse(id='8e8c75424bda2ed8-LAX', created=1732651156, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='  Based on the list of categories provided, the sentence ""I\'ve been waiting longer than expected for my card"" belongs to the category of ""card_arrival"" or ""card_delivery_estimate"".', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=46, prompt_tokens=756, total_tokens=802, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
Why hasn't my card been delivered?,"  Based on the list of categories provided, the sentence ""Why hasn't my card been delivered?"" belongs to the category of ""card_delivery_estimate"" or ""card_arrival"".",11,"ModelResponse(id='8e8c7547cc8a2ed8-LAX', created=1732651157, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='  Based on the list of categories provided, the sentence ""Why hasn\'t my card been delivered?"" belongs to the category of ""card_delivery_estimate"" or ""card_arrival"".', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=43, prompt_tokens=753, total_tokens=796, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
