test_accuracy,prompt,new_prompt,new_prompt_test_accuracy
0.5555555555555556,"Classify the following sentence from FOMC into hawkish, dovish, or neutral based on its stance on monetary policy. Output your prediction on the first line and your explanation after.","Classify the following sentence from FOMC into hawkish, dovish, or neutral based on its stance on monetary policy. Output your prediction on the first line and your explanation after.",0.5555555555555556
0.5555555555555556,"Classify the following sentence from FOMC into hawkish, dovish, or neutral based on its stance on monetary policy. Output your prediction on the first line and your explanation after.","Analyze the given sentence from FOMC and determine whether it leans towards tightening (hawkish) or easing (dovish) monetary policy, or if it maintains a neutral stance. Provide evidence from the sentence that supports your classification, and explain why you believe the sentence does not explicitly advocate for tightening or easing monetary policy if you determine that the stance is neutral. Discuss the potential actions a central bank might take in response to the given context, and how these actions align with the definition of the respective monetary policy stance.</IMPRO",0.4166666666666667
0.5555555555555556,"Classify the following sentence from FOMC into hawkish, dovish, or neutral based on its stance on monetary policy. Output your prediction on the first line and your explanation after.",Predict the monetary policy stance of the given FOMC sentence and provide a brief explanation supported by evidence.,0.3333333333333333
0.5555555555555556,"Classify the following sentence from FOMC into hawkish, dovish, or neutral based on its stance on monetary policy. Output your prediction on the first line and your explanation after.","Classify the given statement from FOMC as either hawkish, dovish, or neutral, based on its stance on monetary policy. Explain your reasoning, taking into consideration the overall context of the statement and the potential implications for interest rates, inflation, and economic growth. If the statement is ambiguous or requires additional context, kindly request clarification before providing a prediction.",0.5
0.5555555555555556,"Classify the following sentence from FOMC into hawkish, dovish, or neutral based on its stance on monetary policy. Output your prediction on the first line and your explanation after.","Analyze the given sentence from FOMC and classify its stance on monetary policy as either hawkish, dovish, or neutral. To provide a comprehensive response, please explain your prediction by discussing specific monetary policy actions or economic factors suggested by the statement, and how they relate to the FOMC's overall approach to monetary policy.",0.4444444444444444
0.5555555555555556,"Classify the following sentence from FOMC into hawkish, dovish, or neutral based on its stance on monetary policy. Output your prediction on the first line and your explanation after.","Analyze the given sentence from FOMC and determine its stance on monetary policy by providing a classification (hawkish, dovish, or neutral) along with a detailed explanation. In your explanation, discuss the specific aspects of the sentence that support your classification, any nuances or implications that may indicate a potential future adjustment in interest rates, and provide concrete examples or steps that could be taken to address the issue at hand if the sentence suggests a need for policy adjustments.",0.4722222222222222
0.5833333333333334,"Analyze the given sentence from FOMC and determine the monetary policy stance it suggests by evaluating its stance on interest rates, inflation, and economic growth. On the first line, provide a clear and concise prediction of the stance (hawkish, dovish, or neutral), followed by a detailed explanation that directly addresses the question and provides evidence to support your prediction.

For example, if the sentence suggests a preference for raising interest rates to combat inflation, it would be hawkish. If it suggests a preference for lowering interest rates to stimulate economic growth","Analyze the given sentence from FOMC and determine the monetary policy stance it suggests by evaluating its stance on interest rates, inflation, and economic growth. On the first line, provide a clear and concise prediction of the stance (hawkish, dovish, or neutral), followed by a detailed explanation that directly addresses the question and provides evidence to support your prediction.

For example, if the sentence suggests a preference for raising interest rates to combat inflation, it would be hawkish. If it suggests a preference for lowering interest rates to stimulate economic growth",0.5833333333333334
0.5833333333333334,"Analyze the given sentence from FOMC and determine the monetary policy stance it suggests by evaluating its stance on interest rates, inflation, and economic growth. On the first line, provide a clear and concise prediction of the stance (hawkish, dovish, or neutral), followed by a detailed explanation that directly addresses the question and provides evidence to support your prediction.

For example, if the sentence suggests a preference for raising interest rates to combat inflation, it would be hawkish. If it suggests a preference for lowering interest rates to stimulate economic growth","For the given sentence from FOMC, predict the monetary policy stance it suggests by evaluating its stance on interest rates, inflation, and economic growth. Your response should consist of two parts:

1. A clear and concise prediction of the stance (hawkish, dovish, or neutral) in the first line.
2. A detailed explanation that directly addresses the question and provides evidence to support your prediction. The explanation should explicitly mention any indicators of the stance in the text and explain how they support your prediction.

For example, if the sentence",0.5
0.5833333333333334,"Analyze the given sentence from FOMC and determine the monetary policy stance it suggests by evaluating its stance on interest rates, inflation, and economic growth. On the first line, provide a clear and concise prediction of the stance (hawkish, dovish, or neutral), followed by a detailed explanation that directly addresses the question and provides evidence to support your prediction.

For example, if the sentence suggests a preference for raising interest rates to combat inflation, it would be hawkish. If it suggests a preference for lowering interest rates to stimulate economic growth","Analyze the given sentence from FOMC and determine the monetary policy stance it suggests with respect to addressing the imbalance between supply and demand within the domestic market. On the first line, provide a clear and concise prediction of the stance (supportive, critical, or neutral), followed by a detailed explanation that directly addresses the question, provides evidence to support your prediction, and suggests potential solutions or actions that the central bank could take to address the imbalance between supply and demand within the domestic market.",0.25
0.5833333333333334,"Analyze the given sentence from FOMC and determine the monetary policy stance it suggests by evaluating its stance on interest rates, inflation, and economic growth. On the first line, provide a clear and concise prediction of the stance (hawkish, dovish, or neutral), followed by a detailed explanation that directly addresses the question and provides evidence to support your prediction.

For example, if the sentence suggests a preference for raising interest rates to combat inflation, it would be hawkish. If it suggests a preference for lowering interest rates to stimulate economic growth","Given the sentence from FOMC, analyze the monetary policy stance suggested by the FOMC based on their potential actions on interest rates, inflation, and economic growth. Please provide a clear and concise prediction of the stance (hawkish, dovish, or neutral) on the first line, followed by a detailed explanation that directly addresses the question and provides evidence to support your prediction.

For instance, if the sentence suggests a preference for raising interest rates to combat inflation, it would be hawkish. If it suggests a preference for lowering interest rates to stim",0.5555555555555556
