documents,llm_responses,actual_labels,complete_responses,extracted_labels
How do I locate my card?,"This sentence belongs to the **card_arrival** category. 


The user is asking about the location of their card, which implies they are expecting its arrival. 

",11,"ModelResponse(id='8e8bc7691a5c2efe-LAX', created=1732644036, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='This sentence belongs to the **card_arrival** category. \n\n\nThe user is asking about the location of their card, which implies they are expecting its arrival. \n\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=38, prompt_tokens=656, total_tokens=694, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
"I still have not received my new card, I ordered over a week ago.","The sentence ""I still have not received my new card, I ordered over a week ago"" belongs to the category **card_arrival**. 


Let me know if you have another sentence you'd like me to classify! 
",11,"ModelResponse(id='8e8bc76f8be42efe-LAX', created=1732644037, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""I still have not received my new card, I ordered over a week ago"" belongs to the category **card_arrival**. \n\n\nLet me know if you have another sentence you\'d like me to classify! \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=50, prompt_tokens=665, total_tokens=715, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
I ordered a card but it has not arrived. Help please!,"The sentence ""I ordered a card but it has not arrived. Help please!"" belongs to the category **card_arrival**. 
",11,"ModelResponse(id='8e8bc774eb452efe-LAX', created=1732644037, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""I ordered a card but it has not arrived. Help please!"" belongs to the category **card_arrival**. \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=29, prompt_tokens=662, total_tokens=691, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
Is there a way to know when my card will arrive?,"The sentence ""Is there a way to know when my card will arrive?"" belongs to the category **card_delivery_estimate**. 
",11,"ModelResponse(id='8e8bc77a1bae2efe-LAX', created=1732644038, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""Is there a way to know when my card will arrive?"" belongs to the category **card_delivery_estimate**. \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=30, prompt_tokens=661, total_tokens=691, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
My card has not arrived yet.,"The sentence ""My card has not arrived yet"" belongs to the category **card_arrival**. 
",11,"ModelResponse(id='8e8bc77eab182efe-LAX', created=1732644039, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""My card has not arrived yet"" belongs to the category **card_arrival**. \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=23, prompt_tokens=656, total_tokens=679, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
When will I get my card?,"The sentence ""When will I get my card?"" belongs to the category **card_arrival**. 
",11,"ModelResponse(id='8e8bc782f90d2efe-LAX', created=1732644040, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""When will I get my card?"" belongs to the category **card_arrival**. \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=23, prompt_tokens=656, total_tokens=679, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
Do you know if there is a tracking number for the new card you sent me?,"The sentence ""Do you know if there is a tracking number for the new card you sent me?"" belongs to the category **card_delivery_estimate**. 


The user is inquiring about the status and tracking information of a newly ordered card. 
",11,"ModelResponse(id='8e8bc787ef3d2efe-LAX', created=1732644041, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""Do you know if there is a tracking number for the new card you sent me?"" belongs to the category **card_delivery_estimate**. \n\n\nThe user is inquiring about the status and tracking information of a newly ordered card. \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=53, prompt_tokens=666, total_tokens=719, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
i have not received my card,"The sentence ""i have not received my card"" belongs to the category **card_arrival**. 
",11,"ModelResponse(id='8e8bc78f3a0d2efe-LAX', created=1732644042, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""i have not received my card"" belongs to the category **card_arrival**. \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=23, prompt_tokens=655, total_tokens=678, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
still waiting on that card,"The sentence ""still waiting on that card"" most likely belongs to the category **card_arrival**. 


Here's why:

* **Context:** The phrase ""waiting on that card"" strongly implies a card has been ordered or requested and the user is inquiring about its delivery status. 
* **Related Categories:**  It could also have a slight overlap with **card_delivery_estimate** if the user is asking for an update on the expected arrival time. 

",11,"ModelResponse(id='8e8bc7924e802efe-LAX', created=1732644042, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""still waiting on that card"" most likely belongs to the category **card_arrival**. \n\n\nHere\'s why:\n\n* **Context:** The phrase ""waiting on that card"" strongly implies a card has been ordered or requested and the user is inquiring about its delivery status. \n* **Related Categories:**  It could also have a slight overlap with **card_delivery_estimate** if the user is asking for an update on the expected arrival time. \n\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=101, prompt_tokens=654, total_tokens=755, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
Is it normal to have to wait over a week for my new card?,"The sentence ""Is it normal to have to wait over a week for my new card?"" belongs to the category **card_arrival**. 


Let me know if you have another sentence you'd like me to classify! 
",11,"ModelResponse(id='8e8bc79ddfc82efe-LAX', created=1732644044, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""Is it normal to have to wait over a week for my new card?"" belongs to the category **card_arrival**. \n\n\nLet me know if you have another sentence you\'d like me to classify! \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=49, prompt_tokens=664, total_tokens=713, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
How do I track my card?,"This sentence likely belongs to the **card_arrival** or **card_delivery_estimate** category. 

The user is asking about the location or estimated arrival time of their card. 


Let me know if you have another sentence you'd like me to classify! 
",11,"ModelResponse(id='8e8bc7a3af8a2efe-LAX', created=1732644045, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content=""This sentence likely belongs to the **card_arrival** or **card_delivery_estimate** category. \n\nThe user is asking about the location or estimated arrival time of their card. \n\n\nLet me know if you have another sentence you'd like me to classify! \n"", role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=60, prompt_tokens=656, total_tokens=716, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
How long does a card delivery take?,"The sentence ""How long does a card delivery take?"" belongs to the category **card_delivery_estimate**. 
",11,"ModelResponse(id='8e8bc7aa99ef2efe-LAX', created=1732644046, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""How long does a card delivery take?"" belongs to the category **card_delivery_estimate**. \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=26, prompt_tokens=657, total_tokens=683, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",12
I still don't have my card after 2 weeks.  What should I do?,"The sentence ""I still don't have my card after 2 weeks. What should I do?"" belongs to the category **card_arrival**. 


Let me know if you have another sentence you'd like me to classify! 
",11,"ModelResponse(id='8e8bc7ae4f4d2efe-LAX', created=1732644047, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""I still don\'t have my card after 2 weeks. What should I do?"" belongs to the category **card_arrival**. \n\n\nLet me know if you have another sentence you\'d like me to classify! \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=52, prompt_tokens=668, total_tokens=720, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
still waiting on my new card,"The sentence ""still waiting on my new card"" belongs to the category **card_arrival**. 
",11,"ModelResponse(id='8e8bc7b58ae52efe-LAX', created=1732644048, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""still waiting on my new card"" belongs to the category **card_arrival**. \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=23, prompt_tokens=655, total_tokens=678, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
I am still waiting for my card after 1 week.  Is this ok?,"The sentence ""I am still waiting for my card after 1 week. Is this ok?"" belongs to the category **card_arrival**. 


Let me know if you have another sentence you'd like me to classify! 
",11,"ModelResponse(id='8e8bc7b959162efe-LAX', created=1732644048, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""I am still waiting for my card after 1 week. Is this ok?"" belongs to the category **card_arrival**. \n\n\nLet me know if you have another sentence you\'d like me to classify! \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=50, prompt_tokens=666, total_tokens=716, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
"I have been waiting longer than expected for my bank card, could you provide information on when it will arrive?","The sentence ""I have been waiting longer than expected for my bank card, could you provide information on when it will arrive?"" belongs to the category **card_delivery_estimate**. 


Let me know if you have another sentence you'd like me to classify! 
",11,"ModelResponse(id='8e8bc7be382a2efe-LAX', created=1732644049, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""I have been waiting longer than expected for my bank card, could you provide information on when it will arrive?"" belongs to the category **card_delivery_estimate**. \n\n\nLet me know if you have another sentence you\'d like me to classify! \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=58, prompt_tokens=671, total_tokens=729, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
