documents,llm_responses,actual_labels,complete_responses,extracted_labels
How do I locate my card?,"The sentence ""How do I locate my card?"" best fits the **`lost_or_stolen_card`** category.

**Category:** `lost_or_stolen_card`

**Explanation:** The user is seeking assistance in finding their card, which aligns with issues related to lost or stolen cards.",11,"ModelResponse(id='chatcmpl-AykU2UUQhui2XFcl27s6cDafZ0gBi', created=1739041726, model='o1-mini-2024-09-12', object='chat.completion', system_fingerprint='fp_f56e40de61', choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""How do I locate my card?"" best fits the **`lost_or_stolen_card`** category.\n\n**Category:** `lost_or_stolen_card`\n\n**Explanation:** The user is seeking assistance in finding their card, which aligns with issues related to lost or stolen cards.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=454, prompt_tokens=531, total_tokens=985, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=384, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')",41
"I still have not received my new card, I ordered over a week ago.","The sentence:

""I still have not received my new card, I ordered over a week ago.""

**Category:** `card_arrival`

**Explanation:** This intent pertains to the non-receipt or delayed arrival of a newly ordered card. The user is specifically mentioning that they have not received their card despite having placed an order, which directly aligns with the `card_arrival` category.",11,"ModelResponse(id='chatcmpl-AykU26RsGDCWX5OcX9G3B3xd3zK3p', created=1739041726, model='o1-mini-2024-09-12', object='chat.completion', system_fingerprint='fp_f56e40de61', choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence:\n\n""I still have not received my new card, I ordered over a week ago.""\n\n**Category:** `card_arrival`\n\n**Explanation:** This intent pertains to the non-receipt or delayed arrival of a newly ordered card. The user is specifically mentioning that they have not received their card despite having placed an order, which directly aligns with the `card_arrival` category.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=410, prompt_tokens=540, total_tokens=950, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=320, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')",11
I ordered a card but it has not arrived. Help please!,"The sentence **""I ordered a card but it has not arrived. Help please!""** falls under the **`card_arrival`** category. This intent pertains to issues related to the delivery and expected arrival of a physical card after an order has been placed.

**Identified Category:** `card_arrival`",11,"ModelResponse(id='chatcmpl-AykU2tCs651XmoDBwLCyzTeS2KgQD', created=1739041726, model='o1-mini-2024-09-12', object='chat.completion', system_fingerprint='fp_f56e40de61', choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence **""I ordered a card but it has not arrived. Help please!""** falls under the **`card_arrival`** category. This intent pertains to issues related to the delivery and expected arrival of a physical card after an order has been placed.\n\n**Identified Category:** `card_arrival`', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=331, prompt_tokens=537, total_tokens=868, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=256, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')",11
Is there a way to know when my card will arrive?,"The sentence **""Is there a way to know when my card will arrive?""** belongs to the category:

**`card_arrival`**",11,"ModelResponse(id='chatcmpl-AykU2i4KyVHl5V1arTxviSf5eHnGo', created=1739041726, model='o1-mini-2024-09-12', object='chat.completion', system_fingerprint='fp_f56e40de61', choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence **""Is there a way to know when my card will arrive?""** belongs to the category:\n\n**`card_arrival`**', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=745, prompt_tokens=536, total_tokens=1281, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=704, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')",11
My card has not arrived yet.,"The sentence ""**My card has not arrived yet.**"" belongs to the category:

**`card_arrival`**",11,"ModelResponse(id='chatcmpl-AykU2dO3zZw4XiMg5xnuEkVsZytD6', created=1739041726, model='o1-mini-2024-09-12', object='chat.completion', system_fingerprint='fp_f56e40de61', choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""**My card has not arrived yet.**"" belongs to the category:\n\n**`card_arrival`**', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=868, prompt_tokens=531, total_tokens=1399, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=832, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')",11
When will I get my card?,"The sentence ""When will I get my card?"" belongs to the **`card_delivery_estimate`** category.",11,"ModelResponse(id='chatcmpl-AykUBEa9yBPlsCyWJ25LXEQYZVorw', created=1739041735, model='o1-mini-2024-09-12', object='chat.completion', system_fingerprint='fp_f56e40de61', choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""When will I get my card?"" belongs to the **`card_delivery_estimate`** category.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=227, prompt_tokens=531, total_tokens=758, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=192, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')",11
Do you know if there is a tracking number for the new card you sent me?,"The sentence **""Do you know if there is a tracking number for the new card you sent me?""** belongs to the category:

**`card_delivery_estimate`**",11,"ModelResponse(id='chatcmpl-AykUB3lDrF5ykm6BPaowF7STPSI7t', created=1739041735, model='o1-mini-2024-09-12', object='chat.completion', system_fingerprint='fp_f56e40de61', choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence **""Do you know if there is a tracking number for the new card you sent me?""** belongs to the category:\n\n**`card_delivery_estimate`**', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=1007, prompt_tokens=541, total_tokens=1548, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=960, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')",11
i have not received my card,"The sentence ""i have not received my card"" falls under the category:

**`card_arrival`**",11,"ModelResponse(id='chatcmpl-AykUBw1c0J2SepIzkyqsRMfZZeKrP', created=1739041735, model='o1-mini-2024-09-12', object='chat.completion', system_fingerprint='fp_f56e40de61', choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""i have not received my card"" falls under the category:\n\n**`card_arrival`**', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=802, prompt_tokens=531, total_tokens=1333, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=768, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')",11
still waiting on that card,"The sentence ""still waiting on that card"" best fits the **`card_arrival`** category.

**Category Selected:** `card_arrival`

**Reasoning:**
- The user is expressing a concern about the status of receiving their card.
- Among the provided intents, `card_arrival` specifically addresses issues related to awaiting the delivery or arrival of a card.",11,"ModelResponse(id='chatcmpl-AykUBeQ9fz23HydQsp3WbNa7NPiV7', created=1739041735, model='o1-mini-2024-09-12', object='chat.completion', system_fingerprint='fp_f56e40de61', choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""still waiting on that card"" best fits the **`card_arrival`** category.\n\n**Category Selected:** `card_arrival`\n\n**Reasoning:**\n- The user is expressing a concern about the status of receiving their card.\n- Among the provided intents, `card_arrival` specifically addresses issues related to awaiting the delivery or arrival of a card.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=855, prompt_tokens=530, total_tokens=1385, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=768, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')",11
Is it normal to have to wait over a week for my new card?,"The sentence **""Is it normal to have to wait over a week for my new card?""** falls under the category:

**`card_delivery_estimate`**

This intent pertains to inquiries about the expected delivery time or status of a new or replacement card.",11,"ModelResponse(id='chatcmpl-AykUBPthWxhjFpg6SkmhnNpEvVOrG', created=1739041735, model='o1-mini-2024-09-12', object='chat.completion', system_fingerprint='fp_f56e40de61', choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence **""Is it normal to have to wait over a week for my new card?""** falls under the category:\n\n**`card_delivery_estimate`**\n\nThis intent pertains to inquiries about the expected delivery time or status of a new or replacement card.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=768, prompt_tokens=539, total_tokens=1307, completion_tokens_details=CompletionTokensDetailsWrapper(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=704, rejected_prediction_tokens=0, text_tokens=None), prompt_tokens_details=PromptTokensDetailsWrapper(audio_tokens=0, cached_tokens=0, text_tokens=None, image_tokens=None)), service_tier='default')",11
