documents,llm_responses,actual_labels,complete_responses
How do I locate my card?,"The sentence **""How do I locate my card?""** belongs to the category **'lost_or_stolen_card'**. This is because the intent is related to finding or locating a card, which falls under the broader context of a lost or stolen card scenario.",11,"ModelResponse(id='909f90bb5e723b02', created=1738220229, model='together_ai/deepseek-ai/DeepSeek-V3', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence **""How do I locate my card?""** belongs to the category **\'lost_or_stolen_card\'**. This is because the intent is related to finding or locating a card, which falls under the broader context of a lost or stolen card scenario.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=54, prompt_tokens=600, total_tokens=654, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
"I still have not received my new card, I ordered over a week ago.","The sentence ""I still have not received my new card, I ordered over a week ago."" belongs to the category **'card_arrival'**. This intent is related to inquiries or concerns about the receipt of a card that was ordered.",11,"ModelResponse(id='909f90bb6a00e625', created=1738220228, model='together_ai/deepseek-ai/DeepSeek-V3', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""I still have not received my new card, I ordered over a week ago."" belongs to the category **\'card_arrival\'**. This intent is related to inquiries or concerns about the receipt of a card that was ordered.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=49, prompt_tokens=609, total_tokens=658, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
I ordered a card but it has not arrived. Help please!,"The sentence ""I ordered a card but it has not arrived. Help please!"" belongs to the category **'card_arrival'**. This intent is related to inquiries or issues regarding the delivery or arrival of a card that has been ordered.",11,"ModelResponse(id='909f90bb4b6f9c5e', created=1738220225, model='together_ai/deepseek-ai/DeepSeek-V3', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""I ordered a card but it has not arrived. Help please!"" belongs to the category **\'card_arrival\'**. This intent is related to inquiries or issues regarding the delivery or arrival of a card that has been ordered.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=49, prompt_tokens=606, total_tokens=655, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
Is there a way to know when my card will arrive?,"The sentence ""Is there a way to know when my card will arrive?"" belongs to the category **'card_delivery_estimate'**. This intent is concerned with inquiries about the expected delivery time or status of a card.",11,"ModelResponse(id='909f90bb4e39f270', created=1738220228, model='together_ai/deepseek-ai/DeepSeek-V3', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""Is there a way to know when my card will arrive?"" belongs to the category **\'card_delivery_estimate\'**. This intent is concerned with inquiries about the expected delivery time or status of a card.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=47, prompt_tokens=605, total_tokens=652, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
My card has not arrived yet.,"The sentence ""My card has not arrived yet."" belongs to the category **'card_arrival'**. This intent is related to inquiries or issues regarding the delivery or arrival of a physical card.",11,"ModelResponse(id='909f90bb4bbf8292', created=1738220225, model='together_ai/deepseek-ai/DeepSeek-V3', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""My card has not arrived yet."" belongs to the category **\'card_arrival\'**. This intent is related to inquiries or issues regarding the delivery or arrival of a physical card.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=40, prompt_tokens=600, total_tokens=640, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
When will I get my card?,"The sentence **""When will I get my card?""** belongs to the category **'card_arrival'**. This intent is related to inquiries about the expected delivery or arrival time of a physical card.",11,"ModelResponse(id='909f90bb6cee059b', created=1738220226, model='together_ai/deepseek-ai/DeepSeek-V3', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence **""When will I get my card?""** belongs to the category **\'card_arrival\'**. This intent is related to inquiries about the expected delivery or arrival time of a physical card.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=42, prompt_tokens=600, total_tokens=642, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
Do you know if there is a tracking number for the new card you sent me?,"The sentence ""Do you know if there is a tracking number for the new card you sent me?"" belongs to the category **'card_arrival'**. This is because the user is inquiring about the status or tracking information of a card that has been sent to them, which directly relates to the arrival or delivery of the card.",11,"ModelResponse(id='909f90bb6db5061f', created=1738220228, model='together_ai/deepseek-ai/DeepSeek-V3', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""Do you know if there is a tracking number for the new card you sent me?"" belongs to the category **\'card_arrival\'**. This is because the user is inquiring about the status or tracking information of a card that has been sent to them, which directly relates to the arrival or delivery of the card.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=68, prompt_tokens=610, total_tokens=678, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
i have not received my card,"The sentence ""I have not received my card"" belongs to the category **'card_arrival'**. This intent typically involves inquiries or issues related to the non-receipt or delayed arrival of a physical or virtual card.",11,"ModelResponse(id='909f90bb6a1b7f56', created=1738220226, model='together_ai/deepseek-ai/DeepSeek-V3', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""I have not received my card"" belongs to the category **\'card_arrival\'**. This intent typically involves inquiries or issues related to the non-receipt or delayed arrival of a physical or virtual card.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=46, prompt_tokens=599, total_tokens=645, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
still waiting on that card,"The sentence ""still waiting on that card"" belongs to the category **'card_arrival'**. This intent is related to inquiries or concerns about the delivery or arrival of a card that has been ordered.",11,"ModelResponse(id='909f90bb5963d701', created=1738220224, model='together_ai/deepseek-ai/DeepSeek-V3', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""still waiting on that card"" belongs to the category **\'card_arrival\'**. This intent is related to inquiries or concerns about the delivery or arrival of a card that has been ordered.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=42, prompt_tokens=598, total_tokens=640, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
Is it normal to have to wait over a week for my new card?,"The sentence ""Is it normal to have to wait over a week for my new card?"" belongs to the category **'card_delivery_estimate'**. This category pertains to inquiries or concerns about the expected time frame for receiving a new card.",11,"ModelResponse(id='909f90bb5a72e635', created=1738220227, model='together_ai/deepseek-ai/DeepSeek-V3', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""Is it normal to have to wait over a week for my new card?"" belongs to the category **\'card_delivery_estimate\'**. This category pertains to inquiries or concerns about the expected time frame for receiving a new card.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=51, prompt_tokens=608, total_tokens=659, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
How do I track my card?,"The sentence ""How do I track my card?"" belongs to the category **'card_arrival'**. This intent is related to inquiries about tracking the delivery or status of a card that has been ordered.",11,"ModelResponse(id='909f90bb4f91c963', created=1738220226, model='together_ai/deepseek-ai/DeepSeek-V3', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""How do I track my card?"" belongs to the category **\'card_arrival\'**. This intent is related to inquiries about tracking the delivery or status of a card that has been ordered.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=42, prompt_tokens=600, total_tokens=642, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
How long does a card delivery take?,"The sentence **""How long does a card delivery take?""** belongs to the category **'card_delivery_estimate'**. This intent is focused on inquiries about the expected time frame for receiving a physical or virtual card.",11,"ModelResponse(id='909f90bb4ccaf278', created=1738220226, model='together_ai/deepseek-ai/DeepSeek-V3', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence **""How long does a card delivery take?""** belongs to the category **\'card_delivery_estimate\'**. This intent is focused on inquiries about the expected time frame for receiving a physical or virtual card.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=47, prompt_tokens=601, total_tokens=648, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
I still don't have my card after 2 weeks.  What should I do?,"The sentence ""I still don't have my card after 2 weeks. What should I do?"" belongs to the category **'card_arrival'**. This intent is related to inquiries or concerns about the delivery or receipt of a physical card.",11,"ModelResponse(id='909f90bb5ae9e629', created=1738220226, model='together_ai/deepseek-ai/DeepSeek-V3', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""I still don\'t have my card after 2 weeks. What should I do?"" belongs to the category **\'card_arrival\'**. This intent is related to inquiries or concerns about the delivery or receipt of a physical card.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=50, prompt_tokens=611, total_tokens=661, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
still waiting on my new card,"The sentence ""still waiting on my new card"" belongs to the category **'card_arrival'**. This intent is related to inquiries or concerns about the delivery or arrival of a new card.",11,"ModelResponse(id='909f90bb68aec95a', created=1738220225, model='together_ai/deepseek-ai/DeepSeek-V3', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""still waiting on my new card"" belongs to the category **\'card_arrival\'**. This intent is related to inquiries or concerns about the delivery or arrival of a new card.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=40, prompt_tokens=599, total_tokens=639, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
I am still waiting for my card after 1 week.  Is this ok?,"The sentence ""I am still waiting for my card after 1 week. Is this ok?"" belongs to the category **'card_arrival'**. This intent is related to inquiries about the status or delay in receiving a physical card.",11,"ModelResponse(id='909f90bb6df4d6a4', created=1738220227, model='together_ai/deepseek-ai/DeepSeek-V3', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""I am still waiting for my card after 1 week. Is this ok?"" belongs to the category **\'card_arrival\'**. This intent is related to inquiries about the status or delay in receiving a physical card.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=48, prompt_tokens=610, total_tokens=658, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
"I have been waiting longer than expected for my bank card, could you provide information on when it will arrive?","The sentence ""I have been waiting longer than expected for my bank card, could you provide information on when it will arrive?"" belongs to the category **'card_arrival'**. This intent involves inquiries about the status or expected delivery time of a bank card that has been ordered.",11,"ModelResponse(id='909f90bb7a728296', created=1738220229, model='together_ai/deepseek-ai/DeepSeek-V3', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""I have been waiting longer than expected for my bank card, could you provide information on when it will arrive?"" belongs to the category **\'card_arrival\'**. This intent involves inquiries about the status or expected delivery time of a bank card that has been ordered.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=57, prompt_tokens=615, total_tokens=672, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
