documents,llm_responses,actual_labels,complete_responses
How do I locate my card?," The sentence ""How do I locate my card?"" does not fit exactly into any of the provided categories. However, it is related to the category ""card_not_working"" or ""lost_or_stolen_card"" as it implies that the user might have lost their card and is unable to find it.",11,"ModelResponse(id='8e8cc67ced30f206-LAX', created=1732654484, model='together_ai/mistralai/Mixtral-8x22B-Instruct-v0.1', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content=' The sentence ""How do I locate my card?"" does not fit exactly into any of the provided categories. However, it is related to the category ""card_not_working"" or ""lost_or_stolen_card"" as it implies that the user might have lost their card and is unable to find it.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=67, prompt_tokens=738, total_tokens=805, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
"I still have not received my new card, I ordered over a week ago.", The sentence belongs to the category: 'card_arrival'.,11,"ModelResponse(id='8e8cc6866983f206-LAX', created=1732654485, model='together_ai/mistralai/Mixtral-8x22B-Instruct-v0.1', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content="" The sentence belongs to the category: 'card_arrival'."", role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=15, prompt_tokens=747, total_tokens=762, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
I ordered a card but it has not arrived. Help please!, The sentence belongs to the category: 'card_arrival'.,11,"ModelResponse(id='8e8cc68a1c57f206-LAX', created=1732654486, model='together_ai/mistralai/Mixtral-8x22B-Instruct-v0.1', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content="" The sentence belongs to the category: 'card_arrival'."", role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=15, prompt_tokens=744, total_tokens=759, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
Is there a way to know when my card will arrive?, The sentence belongs to the category: 'card_arrival'.,11,"ModelResponse(id='8e8cc68fbdaff206-LAX', created=1732654487, model='together_ai/mistralai/Mixtral-8x22B-Instruct-v0.1', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content="" The sentence belongs to the category: 'card_arrival'."", role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=15, prompt_tokens=743, total_tokens=758, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
My card has not arrived yet.," The sentence ""My card has not arrived yet."" belongs to the category 'card_arrival'.",11,"ModelResponse(id='8e8cc695cecbf206-LAX', created=1732654488, model='together_ai/mistralai/Mixtral-8x22B-Instruct-v0.1', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content=' The sentence ""My card has not arrived yet."" belongs to the category \'card_arrival\'.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=22, prompt_tokens=738, total_tokens=760, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
When will I get my card?," The sentence ""When will I get my card?"" belongs to the category 'card_arrival'.",11,"ModelResponse(id='8e8cc69d2c60f206-LAX', created=1732654489, model='together_ai/mistralai/Mixtral-8x22B-Instruct-v0.1', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content=' The sentence ""When will I get my card?"" belongs to the category \'card_arrival\'.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=22, prompt_tokens=738, total_tokens=760, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
Do you know if there is a tracking number for the new card you sent me?, The sentence belongs to the category: 'card_delivery_estimate'. This category is about inquiries related to the delivery status or tracking information of a card.,11,"ModelResponse(id='8e8cc6a29cf0f206-LAX', created=1732654490, model='together_ai/mistralai/Mixtral-8x22B-Instruct-v0.1', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content="" The sentence belongs to the category: 'card_delivery_estimate'. This category is about inquiries related to the delivery status or tracking information of a card."", role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=36, prompt_tokens=748, total_tokens=784, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
i have not received my card," The sentence ""I have not received my card"" belongs to the category 'card_arrival'. This category typically involves issues related to the delivery or arrival of a card.",11,"ModelResponse(id='8e8cc6aa6bebf206-LAX', created=1732654491, model='together_ai/mistralai/Mixtral-8x22B-Instruct-v0.1', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content=' The sentence ""I have not received my card"" belongs to the category \'card_arrival\'. This category typically involves issues related to the delivery or arrival of a card.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=37, prompt_tokens=737, total_tokens=774, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
still waiting on that card," The sentence ""still waiting on that card"" belongs to the category 'card_arrival'. This category typically involves queries or issues related to the delivery or arrival of a card.",11,"ModelResponse(id='8e8cc6b1dac2f206-LAX', created=1732654492, model='together_ai/mistralai/Mixtral-8x22B-Instruct-v0.1', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content=' The sentence ""still waiting on that card"" belongs to the category \'card_arrival\'. This category typically involves queries or issues related to the delivery or arrival of a card.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=39, prompt_tokens=736, total_tokens=775, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
Is it normal to have to wait over a week for my new card?, The sentence belongs to the category: 'card_arrival'. This category is about inquiries related to the delivery time or status of a new card.,11,"ModelResponse(id='8e8cc6b959f7f206-LAX', created=1732654493, model='together_ai/mistralai/Mixtral-8x22B-Instruct-v0.1', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content="" The sentence belongs to the category: 'card_arrival'. This category is about inquiries related to the delivery time or status of a new card."", role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=34, prompt_tokens=746, total_tokens=780, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
