prompt,answer,book_name,chapter_number,chapter_name
"1. When one person or group does something that is unacceptable to others, ______ conflict exists.

A: cognitive
B: behavioral
C: goal
D: Affective
E: intrapersonal",B: behavioral,Organizational Behavior,14,
"2. When one person or group desires a different outcome than others do, which type of conflict can occur?

A: Goal conflict
B: Behavioral conflict
C: Affective conflict
D: Cognitive conflict
E: Intrapersonal conflict",A: Goal conflict,Organizational Behavior,14,
"3. The process by which individuals or groups react to other entities that have frustrated, or are about to frustrate, their plans, goals, beliefs, or activities is ________.

A: conflict
B: retaliation
C: affectation
D: perseverance
E: attitude",A: conflict,Organizational Behavior,14,
"4. When one person or group holds ideas or opinions that are inconsistent with those of others, ________ conflict can result.

A: behavioral
B: cognitive
C: goal
D: affective
E: intrapersonal",B: cognitive,Organizational Behavior,14,
"5. When one person’s or group’s feelings or emotions are incompatible with those of others, ________ conflict can result.

A: behavioral
B: cognitive
C: goal
D: affective
E: intrapersonal",D: affective,Organizational Behavior,14,
"6. _______ conflict is conflict within one person.

A: Interpersonal
B: Behavioral
C: Affective
D: Cognitive
E: Intrapersonal",E: Intrapersonal,Organizational Behavior,14,
"7. _______ conflict is when two people disagree on some matter.

A: Interpersonal
B: Intergroup
C: Interorganizational
D: Intrinsic
E: Intrapersonal",A: Interpersonal,Organizational Behavior,14,
"8. _______ conflict usually involves disagreements between two opposing groups/forces over goals or the sharing of resources.

A: Interpersonal
B: Intergroup
C: Interorganizational
D: Intrinsic
E: Intrapersonal",B: Intergroup,Organizational Behavior,14,
"9. _______ conflict can be seen in disputes between two companies.

A: Interpersonal
B: Behavioral
C: Interorganizational
D: Cognitive
E: Goal",C: Interorganizational,Organizational Behavior,14,
"10. The more individuals or groups have to work together or collaborate to accomplish a goal, the greater the likelihood of conflict if different expectations or goals exist among entities. This reflects which of the following factors why organizations have conflict?

A: Status inconsistencies
B: Jurisdictional ambiguities
C: Dependence on common resource pools
D: Individual differences
E: Task interdependencies",E: Task interdependencies,Organizational Behavior,14,
"11. Situations where it is unclear exactly where responsibility for something lies reflects which of the following factors why organizations have conflict?

A: Status inconsistencies
B: Jurisdictional ambiguities
C: Dependence on common resource pools
D: Individual differences
E: Task interdependencies",B: Jurisdictional ambiguities,Organizational Behavior,14,
"12. Personal abilities, traits, and skills are examples of which of the following factors why organizations have conflict?

A: Status inconsistencies
B: Jurisdictional ambiguities
C: Dependence on common resource pools
D: Individual differences
E: Task interdependencies",D: Individual differences,Organizational Behavior,14,
"12. According to Thomas, which is the first stage of the conflict process?

A: Frustration
B: Conceptualization
C: Behavior
D: Outcome
E: Assessment",A: Frustration,Organizational Behavior,14,
"13. According to Thomas, which is the second stage of the conflict process?

A: Frustration
B: Conceptualization
C: Behavior
D: Outcome
E: Assessment",B: Conceptualization,Organizational Behavior,14,
"14. According to Thomas, which is the third stage of the conflict process?

A: Frustration
B: Conceptualization
C: Behavior
D: Outcome
E: Assessment",C: Behavior,Organizational Behavior,14,
"15. According to Thomas, which is the final stage of the conflict process?

A: Frustration
B: Conceptualization
C: Behavior
D: Outcome
E: Assessment",D: Outcome,Organizational Behavior,14,
"16. According to Thomas, in which stage of the conflict process, parties to the conflict attempt to understand the nature of the problem, what they themselves want as a resolution, what they think their opponents want as a resolution, and various strategies they feel each side may employ in resolving the conflict?

A: Frustration
B: Conceptualization
C: Behavior
D: Outcome
E: Formation",B: Conceptualization,Organizational Behavior,14,
"17. Which stage of Thomas’ conflict process is the problem-solving and strategy phase?

A: Frustration
B: Conceptualization
C: Behavior
D: Outcome
E: Formation",B: Conceptualization,Organizational Behavior,14,
"18. According to Thomas, in which stage of the conflict process, parties to a conflict attempt to implement their resolution mode by competing or accommodating in the hope of resolving problems?

A: Frustration
B: Conceptualization
C: Behavior
D: Outcome
E: Formation",C: Behavior,Organizational Behavior,14,
"19. According to Thomas, which of these conflict handling modes is appropriate for situation where a quick, decisive action is vital?

A: Competing
B: Collaborating
C: Compromising
D: Avoiding
E: Accommodating",A: Competing,Organizational Behavior,14,
"20. According to Thomas, which of these conflict handling modes is appropriate when trying to find an integrative solution when both sets of concerns are too important to be compromised?

A: Competing
B: Collaborating
C: Compromising
D: Avoiding
E: Accommodating",B: Collaborating,Organizational Behavior,14,
"21. According to Thomas, which of these conflict handling modes is appropriate when opponents with equal power are committed to mutually exclusive goals?

A: Competing
B: Collaborating
C: Compromising
D: Avoiding
E: Accommodating",C: Compromising,Organizational Behavior,14,
"22. According to Thomas, which of these conflict handling modes is appropriate when you perceive no chance of satisfying your concerns?

A: Competing
B: Collaborating
C: Compromising
D: Avoiding
E: Accommodating",D: Avoiding,Organizational Behavior,14,
"23. According to Thomas, which of these conflict handling modes is appropriate when building social credits for later issues?

A: Competing
B: Collaborating
C: Compromising
D: Avoiding
E: Accommodating",E: Accommodating,Organizational Behavior,14,
"24. According to Thomas, which of these conflict handling modes is representative of assertive and uncooperative characteristics?

A: Competing
B: Collaborating
C: Compromising
D: Avoiding
E: Accommodating",A: Competing,Organizational Behavior,14,
"25. According to Thomas, which of these conflict handling modes is representative of assertive and cooperative characteristics?

A: Competing
B: Collaborating
C: Compromising
D: Avoiding
E: Accommodating",B: Collaborating,Organizational Behavior,14,
"26. According to Thomas, which of these conflict handling modes is representative of unassertive and uncooperative characteristics?

A: Competing
B: Collaborating
C: Compromising
D: Avoiding
E: Accommodating",D: Avoiding,Organizational Behavior,14,
"27. According to Thomas, which of these conflict handling modes is representative of unassertive and cooperative characteristics?

A: Competing
B: Collaborating
C: Compromising
D: Avoiding
E: Accommodating",E: Accommodating,Organizational Behavior,14,
"28. Individuals who are assigned a boundary-spanning role between two groups or departments are _________.

A: instigators
B: integrators
C: disciples
D: protagonists
E: negotiators",B: integrators,Organizational Behavior,14,
"29. The type of strategy that wears down the dissatisfied employee while at the same time claiming that resolution strategies are open and available is which of the following?

A: Secrecy
B: Character assassination
C: Due process non-action
D: Non-action
E: Administrative action",C: Due process non-action,Organizational Behavior,14,
"30. Which of the following policies is especially useful in keeping employees from feeling inequitably treated?

A: Pay secrecy
B: Character assassination
C: Non-action
D: Administrative orbiting
E: Due process",A: Pay secrecy,Organizational Behavior,14,
"31. All of the following strategies help prevent conflict in organizations EXCEPT:

A: Emphasizing organization-wide goals and effectiveness
B: Providing stable, well-structured tasks
C: Facilitating intergroup communication
D: Avoiding win-lose situations
E: Pay secrecy",E: Pay secrecy,Organizational Behavior,14,
